Samples;2048;Curves ;40;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;
246;4.485E-05;-6.148E-05;-4.453E-05;-3.732E-05;-6.404E-05;1.290E-05;-2.582E-05;-1.121E-05;-5.568E-05;5.579E-05;-1.445E-04;-1.006E-05;-2.367E-05;-3.321E-05;-1.087E-04;6.547E-05;-1.341E-04;4.716E-05;-1.492E-05;-5.368E-05;-5.365E-05;-1.280E-05;-1.144E-04;1.868E-05;-5.815E-05;1.187E-06;-1.392E-04;7.238E-05;-7.728E-05;-4.279E-05;-4.881E-06;-1.047E-05;8.957E-05;-1.204E-04;9.622E-06;3.375E-05;-4.592E-05;-4.459E-05;6.313E-05;-5.894E-05;
247;4.618E-05;-6.454E-05;-4.431E-05;-3.857E-05;-6.152E-05;1.056E-05;-2.918E-05;-1.088E-05;-5.632E-05;5.633E-05;-1.460E-04;-1.218E-05;-2.497E-05;-3.357E-05;-1.182E-04;6.392E-05;-1.325E-04;7.006E-05;-1.582E-05;-5.256E-05;-5.547E-05;-1.049E-05;-1.107E-04;1.913E-05;-6.157E-05;5.808E-07;-1.398E-04;7.256E-05;-8.276E-05;-4.101E-05;-4.518E-06;-6.202E-06;9.084E-05;-1.245E-04;9.652E-06;7.760E-06;-4.344E-05;-4.556E-05;6.268E-05;-5.782E-05;
248;4.654E-05;-6.760E-05;-4.347E-05;-4.053E-05;-5.859E-05;7.657E-06;-3.382E-05;-1.048E-05;-5.895E-05;5.618E-05;-1.465E-04;-1.399E-05;-2.688E-05;-3.539E-05;-1.209E-04;6.250E-05;-1.294E-04;8.632E-05;-1.640E-05;-5.211E-05;-5.729E-05;-8.920E-06;-1.097E-04;1.910E-05;-6.351E-05;5.391E-09;-1.388E-04;7.359E-05;-8.724E-05;-3.995E-05;-3.821E-06;-5.021E-06;9.121E-05;-1.257E-04;8.955E-06;-2.053E-05;-4.126E-05;-4.423E-05;6.468E-05;-5.633E-05;
249;4.661E-05;-6.942E-05;-4.301E-05;-4.241E-05;-5.635E-05;5.204E-06;-3.818E-05;-9.636E-06;-6.162E-05;5.500E-05;-1.491E-04;-1.321E-05;-2.864E-05;-3.833E-05;-1.201E-04;6.129E-05;-1.255E-04;9.220E-05;-1.631E-05;-5.187E-05;-5.877E-05;-6.800E-06;-1.115E-04;1.749E-05;-6.308E-05;-2.489E-08;-1.366E-04;7.429E-05;-9.006E-05;-3.958E-05;-2.186E-06;-5.051E-06;8.894E-05;-1.249E-04;7.471E-06;-4.221E-05;-4.074E-05;-4.287E-05;6.874E-05;-5.552E-05;
250;4.618E-05;-6.936E-05;-4.304E-05;-4.332E-05;-5.429E-05;3.084E-06;-4.012E-05;-8.849E-06;-6.252E-05;5.415E-05;-1.537E-04;-1.248E-05;-2.667E-05;-4.118E-05;-1.180E-04;6.144E-05;-1.212E-04;8.433E-05;-1.564E-05;-5.165E-05;-5.895E-05;-3.287E-06;-1.163E-04;1.540E-05;-6.105E-05;7.625E-07;-1.338E-04;7.441E-05;-9.106E-05;-4.004E-05;-2.472E-07;-6.717E-06;8.663E-05;-1.225E-04;6.502E-06;-5.457E-05;-4.226E-05;-4.259E-05;7.304E-05;-5.661E-05;
251;4.606E-05;-6.899E-05;-4.304E-05;-4.323E-05;-5.283E-05;1.297E-06;-3.897E-05;-8.788E-06;-6.192E-05;5.400E-05;-1.582E-04;-1.324E-05;-2.497E-05;-4.009E-05;-1.159E-04;6.098E-05;-1.179E-04;6.476E-05;-1.452E-05;-5.050E-05;-5.901E-05;2.265E-07;-1.234E-04;1.328E-05;-5.842E-05;2.519E-06;-1.323E-04;7.392E-05;-9.054E-05;-4.113E-05;8.430E-07;-1.044E-05;8.585E-05;-1.183E-04;5.684E-06;-6.059E-05;-4.498E-05;-4.223E-05;7.679E-05;-5.894E-05;
252;4.585E-05;-6.878E-05;-4.344E-05;-4.347E-05;-5.226E-05;6.003E-07;-3.567E-05;-9.424E-06;-5.953E-05;5.346E-05;-1.620E-04;-1.463E-05;-2.473E-05;-3.790E-05;-1.117E-04;5.832E-05;-1.176E-04;3.738E-05;-1.398E-05;-4.960E-05;-5.850E-05;4.436E-06;-1.312E-04;1.177E-05;-5.572E-05;5.396E-06;-1.317E-04;7.302E-05;-8.951E-05;-4.316E-05;8.128E-07;-1.417E-05;8.615E-05;-1.116E-04;5.139E-06;-6.281E-05;-4.828E-05;-4.199E-05;7.928E-05;-6.203E-05;
253;4.582E-05;-6.981E-05;-4.428E-05;-4.290E-05;-5.286E-05;1.024E-06;-3.143E-05;-9.030E-06;-5.625E-05;5.267E-05;-1.652E-04;-1.521E-05;-2.549E-05;-3.672E-05;-1.072E-04;5.789E-05;-1.190E-04;1.067E-05;-1.386E-05;-4.932E-05;-5.880E-05;8.585E-06;-1.372E-04;1.177E-05;-5.288E-05;7.819E-06;-1.322E-04;7.259E-05;-8.763E-05;-4.537E-05;2.533E-08;-1.614E-05;8.639E-05;-1.045E-04;5.230E-06;-6.190E-05;-5.119E-05;-4.132E-05;8.161E-05;-6.630E-05;
254;4.673E-05;-7.132E-05;-4.565E-05;-4.050E-05;-5.323E-05;2.115E-06;-2.625E-05;-8.728E-06;-5.250E-05;5.285E-05;-1.672E-04;-1.487E-05;-2.736E-05;-3.621E-05;-1.061E-04;5.753E-05;-1.191E-04;-7.592E-06;-1.610E-05;-4.969E-05;-6.001E-05;1.149E-05;-1.385E-04;1.307E-05;-5.042E-05;9.000E-06;-1.335E-04;7.317E-05;-8.573E-05;-4.709E-05;-1.550E-06;-1.671E-05;8.660E-05;-9.869E-05;6.684E-06;-5.969E-05;-5.316E-05;-3.975E-05;8.327E-05;-7.111E-05;
255;4.667E-05;-7.329E-05;-4.646E-05;-3.932E-05;-5.311E-05;3.205E-06;-1.989E-05;-8.243E-06;-4.887E-05;5.267E-05;-1.661E-04;-1.469E-05;-3.054E-05;-3.703E-05;-1.070E-04;5.674E-05;-1.205E-04;-1.435E-05;-1.958E-05;-5.050E-05;-6.120E-05;1.367E-05;-1.362E-04;1.504E-05;-4.849E-05;9.757E-06;-1.359E-04;7.495E-05;-8.333E-05;-4.803E-05;-3.639E-06;-1.635E-05;8.697E-05;-9.506E-05;8.713E-06;-5.735E-05;-5.331E-05;-3.826E-05;8.291E-05;-7.487E-05;
256;4.748E-05;-7.411E-05;-4.740E-05;-3.944E-05;-5.292E-05;4.204E-06;-1.347E-05;-7.365E-06;-4.514E-05;5.258E-05;-1.635E-04;-1.466E-05;-3.448E-05;-3.830E-05;-1.078E-04;5.765E-05;-1.231E-04;-1.522E-05;-2.073E-05;-4.996E-05;-6.401E-05;1.382E-05;-1.307E-04;1.653E-05;-4.794E-05;1.094E-05;-1.387E-04;7.723E-05;-8.155E-05;-4.821E-05;-4.699E-06;-1.405E-05;8.727E-05;-9.370E-05;1.062E-05;-5.572E-05;-5.095E-05;-3.805E-05;8.188E-05;-7.699E-05;
257;4.770E-05;-7.317E-05;-4.758E-05;-4.017E-05;-5.195E-05;4.871E-06;-7.985E-06;-7.546E-06;-4.196E-05;5.297E-05;-1.606E-04;-1.487E-05;-3.872E-05;-4.021E-05;-1.080E-04;5.944E-05;-1.251E-04;-1.353E-05;-2.176E-05;-4.775E-05;-6.607E-05;1.180E-05;-1.234E-04;1.771E-05;-4.918E-05;1.073E-05;-1.416E-04;7.928E-05;-7.973E-05;-4.906E-05;-5.880E-06;-1.117E-05;8.542E-05;-9.400E-05;1.210E-05;-5.387E-05;-4.553E-05;-3.956E-05;8.052E-05;-7.826E-05;
258;4.642E-05;-7.396E-05;-4.598E-05;-3.944E-05;-5.038E-05;5.385E-06;-4.350E-06;-6.971E-06;-4.035E-05;5.467E-05;-1.577E-04;-1.533E-05;-4.211E-05;-4.184E-05;-1.076E-04;6.023E-05;-1.254E-04;-1.001E-05;-2.394E-05;-4.678E-05;-6.647E-05;1.131E-05;-1.162E-04;1.825E-05;-5.257E-05;8.546E-06;-1.442E-04;8.047E-05;-7.791E-05;-5.185E-05;-7.849E-06;-8.746E-06;7.952E-05;-9.639E-05;1.271E-05;-5.139E-05;-3.835E-05;-4.171E-05;7.994E-05;-7.787E-05;
259;4.615E-05;-7.711E-05;-4.574E-05;-3.841E-05;-4.832E-05;6.506E-06;-2.291E-06;-6.365E-06;-4.078E-05;5.724E-05;-1.545E-04;-1.587E-05;-4.326E-05;-4.257E-05;-1.058E-04;5.911E-05;-1.237E-04;-5.987E-06;-2.606E-05;-4.599E-05;-6.804E-05;1.116E-05;-1.077E-04;1.946E-05;-5.833E-05;4.791E-06;-1.459E-04;8.059E-05;-7.643E-05;-5.515E-05;-9.424E-06;-5.869E-06;7.310E-05;-1.001E-04;1.320E-05;-5.051E-05;-3.060E-05;-4.350E-05;8.055E-05;-7.438E-05;
260;4.751E-05;-7.968E-05;-4.622E-05;-4.075E-05;-4.532E-05;8.414E-06;-2.018E-06;-5.850E-06;-4.347E-05;6.048E-05;-1.519E-04;-1.539E-05;-4.199E-05;-4.317E-05;-1.033E-04;5.714E-05;-1.201E-04;-2.140E-06;-2.691E-05;-4.539E-05;-7.086E-05;8.676E-06;-1.015E-04;2.243E-05;-6.396E-05;1.156E-06;-1.466E-04;8.010E-05;-7.655E-05;-5.303E-05;-1.012E-05;-2.629E-06;7.182E-05;-1.040E-04;1.323E-05;-5.012E-05;-2.318E-05;-4.505E-05;8.137E-05;-6.884E-05;
261;4.957E-05;-8.126E-05;-4.568E-05;-4.408E-05;-4.447E-05;1.178E-05;-2.866E-06;-4.942E-06;-4.702E-05;6.318E-05;-1.514E-04;-1.381E-05;-3.824E-05;-4.408E-05;-1.001E-04;5.508E-05;-1.155E-04;7.973E-07;-2.618E-05;-4.417E-05;-7.264E-05;5.829E-06;-9.905E-05;2.391E-05;-6.693E-05;1.277E-06;-1.445E-04;7.832E-05;-8.036E-05;-4.306E-05;-1.006E-05;5.817E-07;7.809E-05;-1.076E-04;1.256E-05;-4.960E-05;-1.639E-05;-4.723E-05;8.261E-05;-6.321E-05;
262;5.200E-05;-8.204E-05;-4.401E-05;-4.614E-05;-4.405E-05;1.274E-05;-3.624E-06;-3.185E-06;-5.011E-05;6.466E-05;-1.521E-04;-1.172E-05;-3.363E-05;-4.614E-05;-9.676E-05;5.359E-05;-1.107E-04;2.130E-06;-2.558E-05;-4.293E-05;-7.349E-05;3.346E-06;-9.984E-05;2.452E-05;-6.881E-05;3.185E-06;-1.384E-04;7.804E-05;-8.545E-05;-2.426E-05;-1.079E-05;2.005E-06;9.442E-05;-1.093E-04;1.210E-05;-4.900E-05;-1.203E-05;-4.947E-05;8.382E-05;-5.963E-05;
263;5.487E-05;-8.356E-05;-4.165E-05;-4.808E-05;-4.272E-05;1.284E-05;-6.531E-06;-1.338E-06;-5.135E-05;6.478E-05;-1.542E-04;-9.724E-06;-2.927E-05;-4.838E-05;-9.412E-05;5.335E-05;-1.061E-04;1.827E-06;-2.458E-05;-4.269E-05;-7.385E-05;1.650E-06;-1.035E-04;2.485E-05;-6.935E-05;3.731E-06;-1.325E-04;7.865E-05;-8.812E-05;5.211E-06;-1.073E-05;1.278E-06;1.182E-04;-1.087E-04;1.120E-05;-4.845E-05;-1.031E-05;-5.092E-05;8.485E-05;-5.812E-05;
264;5.830E-05;-8.447E-05;-3.850E-05;-4.977E-05;-4.163E-05;1.353E-05;-9.105E-06;-1.368E-06;-4.935E-05;6.360E-05;-1.561E-04;-8.846E-06;-2.555E-05;-4.896E-05;-9.097E-05;5.417E-05;-1.022E-04;1.766E-06;-2.385E-05;-4.290E-05;-7.473E-05;-1.672E-07;-1.088E-04;2.525E-05;-6.738E-05;3.216E-06;-1.282E-04;7.774E-05;-9.127E-05;3.680E-05;-8.879E-06;1.611E-06;1.442E-04;-1.054E-04;9.561E-06;-4.884E-05;-1.194E-05;-5.268E-05;8.542E-05;-5.942E-05;
265;6.075E-05;-8.550E-05;-3.583E-05;-5.044E-05;-4.117E-05;1.353E-05;-8.500E-06;-1.883E-06;-4.671E-05;6.327E-05;-1.580E-04;-8.997E-06;-2.428E-05;-4.908E-05;-8.912E-05;5.475E-05;-9.807E-05;2.221E-06;-2.458E-05;-4.348E-05;-7.528E-05;-1.772E-06;-1.142E-04;2.437E-05;-6.420E-05;3.216E-06;-1.242E-04;7.580E-05;-9.478E-05;6.097E-05;-7.758E-06;7.028E-07;1.653E-04;-9.863E-05;1.002E-05;-4.833E-05;-1.582E-05;-5.619E-05;8.482E-05;-6.403E-05;
266;6.317E-05;-8.656E-05;-3.377E-05;-5.053E-05;-4.178E-05;1.326E-05;-5.198E-06;-1.338E-06;-4.532E-05;6.333E-05;-1.590E-04;-9.754E-06;-2.488E-05;-5.069E-05;-8.918E-05;5.444E-05;-9.580E-05;2.736E-06;-2.606E-05;-4.481E-05;-7.558E-05;-3.226E-06;-1.182E-04;2.292E-05;-6.051E-05;4.094E-06;-1.208E-04;7.414E-05;-9.672E-05;7.781E-05;-7.970E-06;-2.447E-06;1.798E-04;-9.200E-05;1.138E-05;-4.539E-05;-1.891E-05;-5.701E-05;8.518E-05;-7.029E-05;
267;6.493E-05;-8.674E-05;-3.138E-05;-5.044E-05;-4.223E-05;1.247E-05;2.530E-07;-3.990E-07;-4.181E-05;6.194E-05;-1.587E-04;-9.876E-06;-2.649E-05;-5.432E-05;-9.185E-05;5.496E-05;-9.507E-05;4.704E-06;-2.748E-05;-4.614E-05;-7.613E-05;-4.922E-06;-1.214E-04;2.246E-05;-5.687E-05;5.851E-06;-1.192E-04;7.347E-05;-9.736E-05;8.223E-05;-8.606E-06;-6.566E-06;1.829E-04;-8.685E-05;1.265E-05;-4.224E-05;-2.266E-05;-5.531E-05;8.812E-05;-7.453E-05;
268;6.602E-05;-8.628E-05;-2.893E-05;-5.016E-05;-4.184E-05;1.102E-05;6.886E-06;3.582E-07;-3.605E-05;6.072E-05;-1.605E-04;-8.785E-06;-2.846E-05;-5.929E-05;-9.624E-05;5.517E-05;-9.504E-05;7.581E-06;-2.945E-05;-4.672E-05;-7.758E-05;-6.739E-06;-1.223E-04;2.219E-05;-5.348E-05;9.273E-06;-1.220E-04;7.380E-05;-9.726E-05;7.139E-05;-9.999E-06;-9.625E-06;1.729E-04;-8.295E-05;1.404E-05;-4.036E-05;-2.717E-05;-5.440E-05;8.963E-05;-7.856E-05;
269;6.602E-05;-8.601E-05;-2.811E-05;-5.041E-05;-4.069E-05;9.959E-06;1.385E-05;4.793E-07;-3.000E-05;6.042E-05;-1.625E-04;-9.906E-06;-2.994E-05;-6.450E-05;-1.008E-04;5.420E-05;-9.719E-05;1.112E-05;-3.242E-05;-4.681E-05;-7.970E-05;-7.678E-06;-1.196E-04;2.173E-05;-5.109E-05;1.139E-05;-1.283E-04;7.514E-05;-9.711E-05;4.819E-05;-1.194E-05;-1.044E-05;1.526E-04;-7.980E-05;1.495E-05;-3.906E-05;-2.978E-05;-5.407E-05;9.027E-05;-8.244E-05;
270;6.602E-05;-8.628E-05;-2.832E-05;-5.144E-05;-3.890E-05;8.747E-06;1.976E-05;-7.321E-07;-2.582E-05;6.175E-05;-1.633E-04;-1.284E-05;-3.260E-05;-6.755E-05;-1.044E-04;5.378E-05;-1.008E-04;1.440E-05;-3.533E-05;-4.717E-05;-8.209E-05;-6.739E-06;-1.147E-04;2.098E-05;-5.045E-05;1.248E-05;-1.355E-04;7.701E-05;-9.660E-05;1.826E-05;-1.291E-05;-9.927E-06;1.262E-04;-7.852E-05;1.589E-05;-3.631E-05;-2.978E-05;-5.307E-05;9.136E-05;-8.456E-05;
271;6.732E-05;-8.598E-05;-2.905E-05;-5.262E-05;-3.730E-05;7.929E-06;2.360E-05;-2.852E-06;-2.324E-05;6.457E-05;-1.640E-04;-1.484E-05;-3.657E-05;-6.904E-05;-1.049E-04;5.375E-05;-1.041E-04;1.694E-05;-3.805E-05;-4.820E-05;-8.339E-05;-4.710E-06;-1.087E-04;2.025E-05;-5.163E-05;1.363E-05;-1.416E-04;7.886E-05;-9.639E-05;-8.902E-06;-1.294E-05;-9.231E-06;1.029E-04;-8.010E-05;1.665E-05;-3.328E-05;-2.820E-05;-5.219E-05;9.288E-05;-8.423E-05;
272;6.956E-05;-8.574E-05;-2.853E-05;-5.389E-05;-3.678E-05;7.293E-06;2.551E-05;-3.973E-06;-2.206E-05;6.693E-05;-1.643E-04;-1.539E-05;-3.924E-05;-7.055E-05;-1.048E-04;5.499E-05;-1.059E-04;1.827E-05;-4.002E-05;-4.905E-05;-8.476E-05;-2.045E-06;-1.027E-04;2.049E-05;-5.439E-05;1.536E-05;-1.460E-04;8.047E-05;-9.751E-05;-2.686E-05;-1.336E-05;-8.989E-06;8.766E-05;-8.467E-05;1.713E-05;-3.119E-05;-2.527E-05;-5.222E-05;9.333E-05;-8.132E-05;
273;7.165E-05;-8.644E-05;-2.796E-05;-5.428E-05;-3.654E-05;6.748E-06;2.627E-05;-2.307E-06;-2.291E-05;6.920E-05;-1.645E-04;-1.545E-05;-4.063E-05;-7.131E-05;-1.043E-04;5.547E-05;-1.044E-04;1.879E-05;-4.187E-05;-4.920E-05;-8.606E-05;6.808E-07;-9.857E-05;2.161E-05;-5.809E-05;1.678E-05;-1.486E-04;8.216E-05;-9.932E-05;-3.643E-05;-1.388E-05;-8.958E-06;7.806E-05;-9.073E-05;1.622E-05;-3.076E-05;-2.063E-05;-5.274E-05;9.215E-05;-7.702E-05;
274;7.211E-05;-8.886E-05;-2.826E-05;-5.543E-05;-3.684E-05;6.294E-06;2.569E-05;3.582E-07;-2.561E-05;7.105E-05;-1.639E-04;-1.521E-05;-4.166E-05;-7.207E-05;-1.020E-04;5.408E-05;-1.016E-04;2.054E-05;-4.290E-05;-4.887E-05;-8.691E-05;3.588E-06;-9.736E-05;2.243E-05;-6.214E-05;1.648E-05;-1.489E-04;8.401E-05;-1.011E-04;-4.137E-05;-1.360E-05;-8.353E-06;7.170E-05;-9.630E-05;1.398E-05;-3.040E-05;-1.545E-05;-5.419E-05;9.024E-05;-7.281E-05;
275;7.262E-05;-9.222E-05;-2.905E-05;-5.662E-05;-3.742E-05;5.900E-06;2.491E-05;8.427E-07;-2.869E-05;7.329E-05;-1.630E-04;-1.484E-05;-4.202E-05;-7.301E-05;-9.727E-05;5.393E-05;-9.804E-05;1.997E-05;-4.160E-05;-4.796E-05;-8.860E-05;6.193E-06;-9.869E-05;2.189E-05;-6.514E-05;1.584E-05;-1.475E-04;8.504E-05;-1.026E-04;-4.337E-05;-1.236E-05;-6.778E-06;6.734E-05;-1.005E-04;1.183E-05;-3.010E-05;-1.164E-05;-5.637E-05;8.770E-05;-6.978E-05;
276;7.426E-05;-9.546E-05;-2.935E-05;-5.771E-05;-3.724E-05;5.234E-06;2.500E-05;-2.065E-06;-3.124E-05;7.499E-05;-1.631E-04;-1.490E-05;-4.163E-05;-7.358E-05;-9.249E-05;5.602E-05;-9.304E-05;1.697E-05;-4.145E-05;-4.617E-05;-9.030E-05;8.616E-06;-1.017E-04;2.061E-05;-6.635E-05;1.527E-05;-1.436E-04;8.540E-05;-1.043E-04;-4.210E-05;-1.127E-05;-4.839E-06;6.359E-05;-1.033E-04;1.089E-05;-3.010E-05;-9.761E-06;-5.871E-05;8.482E-05;-6.718E-05;
277;7.619E-05;-9.870E-05;-2.923E-05;-5.834E-05;-3.736E-05;3.508E-06;2.609E-05;-3.064E-06;-3.372E-05;7.575E-05;-1.659E-04;-1.445E-05;-4.111E-05;-7.443E-05;-8.906E-05;5.789E-05;-8.680E-05;1.521E-05;-4.284E-05;-4.581E-05;-9.103E-05;1.155E-05;-1.061E-04;2.025E-05;-6.511E-05;1.400E-05;-1.385E-04;8.522E-05;-1.053E-04;-3.901E-05;-1.054E-05;-3.658E-06;5.965E-05;-1.042E-04;1.029E-05;-3.013E-05;-9.639E-06;-5.934E-05;8.234E-05;-6.721E-05;
278;7.859E-05;-1.015E-04;-3.017E-05;-5.795E-05;-3.796E-05;1.327E-06;2.902E-05;2.993E-06;-3.521E-05;7.565E-05;-1.669E-04;-1.306E-05;-4.111E-05;-7.528E-05;-8.679E-05;5.786E-05;-8.105E-05;1.464E-05;-4.348E-05;-4.542E-05;-9.442E-05;1.422E-05;-1.092E-04;2.155E-05;-6.160E-05;1.224E-05;-1.328E-04;8.392E-05;-1.054E-04;-3.522E-05;-1.012E-05;-2.810E-06;5.620E-05;-1.023E-04;1.005E-05;-3.094E-05;-1.052E-05;-5.919E-05;8.103E-05;-7.063E-05;
279;7.886E-05;-1.012E-04;-3.178E-05;-5.846E-05;-3.817E-05;-9.140E-07;3.432E-05;1.974E-05;-3.536E-05;7.608E-05;-1.607E-04;-1.088E-05;-4.121E-05;-7.619E-05;-8.652E-05;5.617E-05;-7.696E-05;1.418E-05;-4.251E-05;-4.439E-05;-9.772E-05;1.452E-05;-1.117E-04;2.428E-05;-5.569E-05;1.015E-05;-1.277E-04;8.168E-05;-1.051E-04;-3.177E-05;-9.818E-06;-2.507E-06;5.426E-05;-9.815E-05;1.050E-05;-3.143E-05;-1.249E-05;-6.064E-05;8.000E-05;-7.702E-05;
280;7.671E-05;-1.006E-04;-3.190E-05;-5.868E-05;-3.860E-05;-1.580E-06;4.020E-05;4.585E-05;-3.445E-05;7.705E-05;-1.452E-04;-9.664E-06;-4.060E-05;-7.773E-05;-8.819E-05;5.399E-05;-7.396E-05;1.388E-05;-4.130E-05;-4.330E-05;-9.920E-05;1.579E-05;-1.130E-04;2.504E-05;-4.994E-05;9.879E-06;-1.246E-04;7.895E-05;-1.044E-04;-2.853E-05;-1.085E-05;-2.477E-06;5.417E-05;-9.291E-05;1.192E-05;-3.116E-05;-1.564E-05;-6.252E-05;7.894E-05;-8.504E-05;
281;7.383E-05;-1.008E-04;-3.241E-05;-5.743E-05;-3.857E-05;-2.822E-06;4.517E-05;7.462E-05;-3.251E-05;7.859E-05;-1.212E-04;-9.270E-06;-3.966E-05;-8.024E-05;-9.067E-05;5.266E-05;-7.196E-05;1.479E-05;-4.151E-05;-4.211E-05;-9.963E-05;1.858E-05;-1.112E-04;2.376E-05;-4.779E-05;9.364E-06;-1.240E-04;7.771E-05;-1.041E-04;-2.568E-05;-1.324E-05;-2.901E-06;5.502E-05;-8.752E-05;1.383E-05;-3.088E-05;-1.866E-05;-6.279E-05;7.819E-05;-9.298E-05;
282;7.262E-05;-1.013E-04;-3.347E-05;-5.810E-05;-3.663E-05;-4.518E-06;4.768E-05;1.015E-04;-3.075E-05;7.980E-05;-9.318E-05;-8.604E-06;-3.899E-05;-8.327E-05;-9.433E-05;5.193E-05;-7.096E-05;1.697E-05;-4.290E-05;-4.163E-05;-9.936E-05;2.115E-05;-1.066E-04;2.282E-05;-4.709E-05;7.335E-06;-1.288E-04;7.650E-05;-1.034E-04;-2.238E-05;-1.578E-05;-4.264E-06;5.532E-05;-8.316E-05;1.556E-05;-3.067E-05;-2.103E-05;-6.158E-05;7.749E-05;-9.834E-05;
283;7.298E-05;-1.020E-04;-3.423E-05;-6.070E-05;-3.490E-05;-4.427E-06;4.959E-05;1.218E-04;-2.860E-05;8.105E-05;-6.931E-05;-7.756E-06;-3.827E-05;-8.621E-05;-9.757E-05;5.105E-05;-7.078E-05;1.976E-05;-4.475E-05;-4.124E-05;-9.996E-05;2.261E-05;-1.005E-04;2.207E-05;-4.655E-05;6.729E-06;-1.358E-04;7.335E-05;-1.048E-04;-2.041E-05;-1.718E-05;-5.445E-06;5.686E-05;-8.001E-05;1.689E-05;-3.161E-05;-2.269E-05;-5.998E-05;7.800E-05;-9.949E-05;
284;7.304E-05;-1.035E-04;-3.523E-05;-6.382E-05;-3.384E-05;-4.881E-06;5.319E-05;1.309E-04;-2.694E-05;8.280E-05;-5.020E-05;-7.695E-06;-3.800E-05;-8.882E-05;-1.005E-04;4.996E-05;-7.193E-05;2.191E-05;-4.669E-05;-4.075E-05;-1.034E-04;2.246E-05;-9.475E-05;2.179E-05;-4.640E-05;6.820E-06;-1.420E-04;7.141E-05;-1.071E-04;-2.132E-05;-1.896E-05;-7.535E-06;5.889E-05;-7.846E-05;1.865E-05;-3.137E-05;-2.230E-05;-6.016E-05;7.934E-05;-9.676E-05;
285;7.326E-05;-1.064E-04;-3.620E-05;-6.667E-05;-3.290E-05;-6.729E-06;5.443E-05;1.278E-04;-2.603E-05;8.323E-05;-3.957E-05;-7.422E-06;-3.848E-05;-9.106E-05;-1.023E-04;4.948E-05;-7.402E-05;2.291E-05;-4.826E-05;-4.084E-05;-1.074E-04;2.218E-05;-9.091E-05;2.219E-05;-4.794E-05;7.516E-06;-1.467E-04;7.120E-05;-1.089E-04;-2.205E-05;-2.081E-05;-9.988E-06;5.926E-05;-8.046E-05;1.907E-05;-2.992E-05;-2.003E-05;-6.146E-05;8.240E-05;-9.125E-05;
286;7.311E-05;-1.096E-04;-3.723E-05;-7.024E-05;-3.127E-05;-9.697E-06;5.195E-05;1.122E-04;-2.379E-05;8.141E-05;-4.351E-05;-7.453E-06;-3.933E-05;-9.218E-05;-1.013E-04;4.978E-05;-7.693E-05;2.427E-05;-4.959E-05;-4.136E-05;-1.053E-04;2.246E-05;-8.918E-05;2.295E-05;-4.994E-05;8.940E-06;-1.493E-04;7.120E-05;-1.103E-04;-2.138E-05;-2.175E-05;-1.081E-05;5.998E-05;-8.546E-05;1.677E-05;-3.016E-05;-1.776E-05;-6.419E-05;8.748E-05;-8.271E-05;
287;7.198E-05;-1.132E-04;-3.759E-05;-7.379E-05;-3.045E-05;-1.324E-05;4.907E-05;8.637E-05;-2.167E-05;8.180E-05;-6.280E-05;-7.392E-06;-3.915E-05;-9.178E-05;-9.788E-05;5.047E-05;-7.829E-05;2.648E-05;-5.038E-05;-4.151E-05;-9.487E-05;2.261E-05;-8.963E-05;2.388E-05;-5.200E-05;1.088E-05;-1.499E-04;7.117E-05;-1.117E-04;-1.971E-05;-2.278E-05;-9.473E-06;6.044E-05;-9.037E-05;1.459E-05;-3.073E-05;-1.455E-05;-6.891E-05;8.973E-05;-7.511E-05;
288;6.962E-05;-1.160E-04;-3.692E-05;-7.561E-05;-3.072E-05;-1.636E-05;4.695E-05;5.954E-05;-2.103E-05;8.292E-05;-9.063E-05;-8.725E-06;-3.769E-05;-9.075E-05;-9.273E-05;5.054E-05;-7.778E-05;2.884E-05;-5.117E-05;-4.121E-05;-7.473E-05;2.243E-05;-9.248E-05;2.567E-05;-5.345E-05;1.303E-05;-1.505E-04;7.138E-05;-1.125E-04;-1.808E-05;-2.414E-05;-7.171E-06;6.128E-05;-9.454E-05;1.374E-05;-3.085E-05;-1.079E-05;-7.209E-05;9.139E-05;-6.908E-05;
289;6.784E-05;-1.178E-04;-3.629E-05;-7.676E-05;-3.088E-05;-1.930E-05;4.505E-05;4.127E-05;-2.094E-05;8.171E-05;-1.164E-04;-1.036E-05;-3.651E-05;-9.033E-05;-8.812E-05;4.905E-05;-7.635E-05;3.057E-05;-5.074E-05;-4.221E-05;-4.799E-05;2.255E-05;-9.736E-05;2.809E-05;-5.382E-05;1.500E-05;-1.500E-04;7.196E-05;-1.123E-04;-1.678E-05;-2.526E-05;-5.324E-06;6.207E-05;-9.803E-05;1.347E-05;-3.049E-05;-8.277E-06;-7.406E-05;9.457E-05;-6.321E-05;
