MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_126,126,160,2048,2047.92135981978,-1.3183593734875e-12,5.9355e-06,5.05604220262119e-05,5.05480766659922e-05,-0.0001011,0.6816668,0.0001013,0.0703152,0.0002024,2.55520617078032e-09,4.427482816429e-05,3.43339805825243e-05,1.14841137792055e-05,7.70783495145631e-05,4.27443689320389e-05,1.17795242492171e-05,-0.225416007020894,4.33228045881605e-06,2.71901239095506,1.98380772222391e-05,3.8841455749568e-06,1.74712098896211e-06,8.36798575394928e-07,4.85072770210586e-09,1.12699990123713e-10,7.68858206949938e-11,5.04836158458558e-11,0.999961601474503,6.05314283143488e-05,14.6773895903506,38.9686817673263
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_127,127,160,2048,2047.92135981978,8.48437500037317e-11,6.735e-06,4.38406219789747e-05,4.38299173953351e-05,-0.0001223,0.595726,0.0001055,0.7656544,0.0002278,1.9211354276496e-09,3.2750484806654e-05,5.67077669902913e-05,3.96078001132547e-06,2.36455922330097e-06,-5.43432077669903e-05,2.43251347292601e-05,-0.040986308613554,7.41713570815167e-06,3.27958604044386,2.04433059096388e-05,5.18963569964552e-06,2.27936956942778e-06,8.33680901940397e-07,3.48251696747904e-09,1.57575980983349e-10,1.26113318152933e-10,4.86506292246283e-11,1.99992320294901,3.81043658008992e-05,14.944032290141,20.8285998239677
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_128,128,160,2048,2047.92135981978,3.92578125020845e-12,7.888e-06,4.69974429519402e-05,4.69859675658697e-05,-9.312e-05,0.1069377,9.974e-05,0.3901517,0.00019286,2.20776592305705e-09,3.9488032073222e-05,-1.63257495145631e-05,1.70206775478478e-05,5.5141067961165e-05,7.14668174757282e-05,2.40079048429158e-05,0.0184134064207024,7.46627283725243e-06,3.21551400082998,1.92798589290263e-05,3.19905739028243e-06,1.69444328184892e-06,8.46485411221856e-07,4.19896507917211e-09,5.44443660117645e-11,7.65022132646969e-11,5.81445410081837e-11,1.99992320294901,5.55990121546719e-05,15.7987392506879,31.5893424532217
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_129,129,160,2048,2047.92135981978,2.37011718749904e-11,7.1855e-06,5.10733436012663e-05,5.10608730007681e-05,-0.0001255,0.673854,0.0001082,0.5556854,0.0002337,2.60731286857023e-09,4.2436514909756e-05,5.05473786407767e-05,7.53133232506173e-06,5.56363106796117e-05,5.08893203883498e-06,2.17552601691988e-05,-1.32260131397286,8.67840114663402e-06,2.50682813585774,1.91632682116655e-05,3.31864525683013e-06,2.51177189195773e-06,8.07580397300553e-07,4.92828400766043e-09,7.04894062850351e-11,1.44742228722322e-10,4.94656743342718e-11,1.99992320294901,6.45149497716617e-05,15.5832764815658,25.7392599374547
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_130,130,160,2048,2047.92135981978,-4.12841796861926e-11,1.768e-06,4.45684177383791e-05,4.45575354484696e-05,-9.612e-05,0.6684827,8.805e-05,0.8559899,0.00018417,1.98545020360189e-09,3.7296526316187e-05,5.35318446601942e-05,9.17457235714108e-06,4.2902427184466e-05,-1.06294174757282e-05,2.32471812228405e-05,-0.92756301774635,6.91327764103456e-06,3.36268589649973,1.6411761023961e-05,2.32940888905221e-06,1.82805835388657e-06,8.0735625809686e-07,3.77877643744621e-09,3.6917764781063e-11,9.09959831285856e-11,4.12925758122981e-11,1.99992320294901,5.56738159282836e-05,17.2573761065457,28.8436719561717
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_131,131,160,2048,2047.92135981978,2.13378906267541e-11,8.451e-07,4.09457507142047e-05,4.09357529724634e-05,-8.344e-05,0.5483609,0.0001177,0.7304968,0.00020114,1.67580021968001e-09,3.28246969629321e-05,1.45924174757282e-05,2.30506998963343e-05,-4.38590291262136e-05,-5.84514466019417e-05,8.90848591328262e-06,0.598154386904857,7.83690576086598e-06,1.13673510756187,1.74644854435984e-05,5.77227023161574e-06,2.2773400190714e-06,8.42506128778247e-07,2.95516696721438e-09,1.85347145125903e-10,1.36877512957966e-10,4.22640210881972e-11,1.99992320294901,4.36273658243059e-05,16.3699257237997,17.5308882801676
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_132,132,160,2048,2047.92135981978,1.79668945307032e-10,1.142e-05,4.53161252426311e-05,4.53050603849925e-05,-0.0001215,0.1972732,9.628e-05,0.8222972,0.00021778,2.05262731435008e-09,3.77332063028046e-05,-2.74319320388349e-05,1.6317359469717e-05,3.05012038834951e-05,5.79331359223301e-05,8.93915051255243e-06,-1.0073896342022,8.48556548754488e-06,1.05345371801554,1.81558708369157e-05,5.31340447108091e-06,2.45001969311798e-06,1.10003216551575e-06,3.68395893513641e-09,1.61601652049256e-10,1.42180652262681e-10,8.40071916453066e-11,1.99992320294901,5.32910765519146e-05,18.1484255847717,17.0016069194016
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_133,133,160,2048,2047.92135981978,7.59521484345812e-11,1.099e-05,4.88832249794471e-05,4.88712891412183e-05,-9.792e-05,0.6694593,0.0001169,0.9458371,0.00021482,2.38849461699601e-09,4.2146156704765e-05,6.46075388349515e-06,7.85583985943531e-06,7.54932038834952e-05,6.903245e-05,1.42177091249379e-05,-0.449939507026264,8.13714495770648e-06,1.74726015063609,1.77090887991938e-05,2.54928770214584e-06,1.89398219841439e-06,8.93295626221861e-07,4.569301506194e-09,3.56885809330538e-11,9.34768646049303e-11,5.31333701751496e-11,1.99992320294901,6.39568117376784e-05,17.1509925941675,31.4096974176518
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_134,134,160,2048,2047.92135981978,-3.4074707031355e-10,8.221e-06,6.667914816134e-05,6.66628670856256e-05,-0.0001516,0.1782295,0.0001466,0.5454311,0.0002982,4.44410849528915e-09,5.6734301828965e-05,7.25068932038835e-05,1.46303306376484e-05,5.55391262135922e-05,-1.69677669902913e-05,2.28989624157377e-05,-1.11466120308526,9.79895792983311e-06,2.33687730666773,2.76552245434593e-05,3.58783957369844e-06,1.53359428657786e-06,6.84543220298413e-07,8.70485796209158e-09,6.82940123119089e-11,5.93859934945888e-11,3.17546122874326e-11,1.99992320294901,8.17360497565212e-05,11.8083858784394,96.2592965590822
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,high,saw4Hzhigh_s2_c1_5cv663WT_curve_135,135,160,2048,2047.92135981978,1.00893554686187e-10,2.085e-05,5.12153759601794e-05,5.12028706796724e-05,-0.0001137,0.3447398,9.123e-05,0.5478726,0.00020493,2.62183464042354e-09,4.4745017249131e-05,4.63542718446602e-05,4.18598328738168e-06,5.24860194174757e-05,6.13174757281553e-06,1.42852375123984e-05,1.40929690616699,6.76053568092665e-06,2.11303337281865,2.3047408740331e-05,2.40041030335824e-06,1.43153866551685e-06,6.4846314165136e-07,5.10710761620868e-09,3.60807655821908e-11,4.87042570131501e-11,2.97324177571805e-11,1.99992320294901,5.50819988888682e-05,12.6750346742509,65.5710334120655
