MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio,OutlierScore,NumStrongFeatures,NumModerateFeatures,IsStrongOutlier,IsModerateOutlier,IsCandidateOutlier,OutlierReason,RZ_RMSVal,RZ_PeakToPeak,RZ_StdVal,RZ_BaselineStd,RZ_Drift,RZ_Amp4Hz,RZ_SNR4Hz,RZ_BandEnergy_0_5,RZ_BandEnergy_5_10,RZ_BandEnergy_10_30,RZ_BandEnergy_30_80
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_015,15,120,2048,2047.92135981978,-2.92626953163735e-11,9.76e-06,3.24632702348993e-05,3.24553436641107e-05,-9.152e-05,0.0605492,6.094e-05,0.3208131,0.00015246,1.0533897809699e-09,2.70826022708611e-05,4.02866796116505e-06,3.55891788605756e-05,-4.20721359223301e-05,-4.61008038834951e-05,4.82492353347035e-06,-0.999210600175663,6.56522727377685e-06,0.734921021329926,1.2088728620328e-05,6.49114155081115e-06,2.48102560765283e-06,9.58663426094474e-07,1.62405121536374e-09,2.12655445194599e-10,1.72587819037789e-10,6.67818888959871e-11,0.999961601474503,3.30950760259305e-05,17.9916475711033,7.67308851502033,3.28557691736415,3,4,1,0,1,"BaselineStd, BandEnergy_30_80, BandEnergy_10_30, BandEnergy_5_10",0.46263212006488,1.01375984957689,0.462632120102448,8.18145726596732,0.947274514638911,0.940034583106969,1.1146650157359,0.0968693847156405,3.3160689963815,3.9375486823277,4.56286143571792
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_016,16,120,2048,2047.92135981978,-9.85839843809039e-12,7.247e-06,3.18820405438778e-05,3.18742558921837e-05,-0.0001019,0.9966203,7.463e-05,0.9175157,0.00017653,1.01600720185885e-09,2.4184525871813e-05,-3.31645631067961e-05,6.88675124419416e-06,-7.97777669902913e-05,-4.66132038834952e-05,1.01800793674022e-05,-2.7899913282286,6.47790944807901e-06,1.57150689565012,1.27428061825271e-05,6.87603694607615e-06,3.69071534887829e-06,7.39728916615982e-07,1.40284385050826e-09,2.67994606464979e-10,3.12837074602098e-10,3.54706740046571e-11,2.99988480442351,2.57972612488342e-05,16.9725608842229,4.79701470468406,3.01631211915481,2,2,1,0,1,"BandEnergy_10_30, BandEnergy_5_10",0.344362334789608,2.1598941651859,0.344362334825679,0.170137370530886,0.957090991033094,0.00353484303705213,0.424377302213758,0.232834012030735,4.60957851798915,8.50674526534067,0.620478752183093
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_017,17,120,2048,2047.92135981978,-1.44374023438094e-10,1.121e-05,3.87697915023361e-05,3.87603250657645e-05,-0.000112,0.0625024,7.753e-05,0.317395,0.00018953,1.50242048993522e-09,2.98442739849047e-05,-0.000100528446601942,5.289296212734e-06,-6.5951e-06,9.39333466019418e-05,1.16842531875458e-05,1.58653506532809,5.58530359786857e-06,2.09196384446142,1.69811788349223e-05,5.03062657569995e-06,2.71840868253728e-06,8.48645661081167e-07,2.6115155551635e-09,1.30381001761539e-10,1.79464806718133e-10,6.24674448536818e-11,0.999961601474503,3.99535677166752e-05,16.2716455327555,11.3333134487447,2.23978909867805,2,3,1,0,1,"BandEnergy_10_30, BandEnergy_30_80, PeakToPeak",1.74589573799532,2.77891145238645,1.74589573802306,0.634951603358196,1.73547711030169,0.268567733266072,0.00506460950104354,1.56865739326861,1.39296836524498,4.16159485272638,4.0196314926928
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_019,19,120,2048,2047.92135981978,-3.4716796880701e-11,4.132e-05,0.000121988515877183,0.000121958729888249,-0.0003895,0.0844759,0.0001286,0.4174965,0.0005181,1.48745029549359e-08,8.897501909743e-05,-2.3266727184466e-05,9.25692924217961e-05,3.76923300970874e-05,6.09590572815534e-05,4.24325785840558e-05,0.678368856325942,1.70159357804793e-05,2.49369644613849,5.58291246503125e-05,1.5685964591531e-05,3.55046856417327e-06,7.7833293724601e-07,2.80355091145475e-08,1.33044078199238e-09,3.06392550538325e-10,4.9645213017865e-11,0.999961601474503,0.00012364448937623,8.8795609301907,82.4798226149561,19.5003306265203,8,8,1,0,1,"BandEnergy_0_5, BandEnergy_5_10, BaselineStd, StdVal, RMSVal, PeakToPeak, BandEnergy_10_30, Amp4Hz",18.6794089677945,18.4243353028082,18.6794089684332,24.7610587256484,1.10376100427416,5.68637080921738,0.336544123525001,39.4624094429044,29.4434251591725,8.29678837670796,2.40518935337516
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_022,22,120,2048,2047.92135981978,-2.64736328142501e-11,5.873e-06,2.81960438288645e-05,2.81891591886013e-05,-6.645e-05,0.415055,4.724e-05,0.6362549,0.00011369,7.9465920950222e-10,2.27721392788754e-05,2.67792233009709e-05,1.05335378196818e-05,-3.57787378640777e-05,-6.25579611650485e-05,7.32963450475331e-06,-2.01797234374536,5.26369954299402e-06,1.39248725056882,1.1968377755994e-05,3.07973123740518e-06,2.43462241512791e-06,6.37369048118844e-07,1.32330548897694e-09,5.50767139409741e-11,1.73991180094871e-10,2.62841935513058e-11,1.99992320294901,2.4120844215145e-05,16.8558533046336,6.8824271782274,1.36175214913135,1,1,1,0,1,"BandEnergy_10_30",0.405671682284933,0.832340167712734,0.405671682275788,0.890974379714019,1.26255807429875,0.498708734313719,0.572090842774232,0.351383717578063,0.367210341437376,3.98326894316582,0.536187368490225
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_025,25,120,2048,2047.92135981978,-9.22851562574485e-11,5.808e-05,0.000154906785392376,0.000154868961735291,-0.0004962,0.5854717,0.0001968,0.5302938,0.000693,2.3985316309747e-08,0.0001136559125593,8.81438834951456e-05,3.87261482139923e-06,0.000162526213592233,7.43823300970874e-05,4.27963826879793e-05,0.189861418804719,2.61773336477756e-05,1.63486408751385,7.05683565535493e-05,2.19730847841275e-05,5.12997967358059e-06,1.01884830896582e-06,4.45666733231779e-08,2.64691897831741e-09,6.36600900306533e-10,7.4245079110904e-11,1.99992320294901,0.000134950788915628,9.12414155935301,66.4188571372938,30.4035585067979,8,8,1,0,1,"BandEnergy_0_5, BandEnergy_5_10, PeakToPeak, StdVal, RMSVal, BandEnergy_10_30, Amp4Hz, BandEnergy_30_80",25.377684584577,26.7524986513756,25.3776845854314,1.04716581978725,1.36092189562144,5.75047247875104,0.372099714880196,64.1016478123792,60.2150711842225,19.0546840772767,5.50254876402283
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_027,27,120,2048,2047.92135981978,-2.79726562490227e-10,3.166e-05,0.00011378114313083,0.000113753361140006,-0.0002963,0.6230708,0.0001669,0.9238636,0.0004632,1.2940324060012e-08,8.5596874332824e-05,7.8696213592233e-05,5.64549866091576e-06,0.000150408737864078,7.17125242718447e-05,2.70564655836893e-05,-0.22819107029638,1.95431938242474e-05,1.38444441715625,5.12683964796286e-05,1.6764046798625e-05,4.25317005037207e-06,9.13655110052806e-07,2.37497858938536e-08,1.5714441271614e-09,4.57074441160079e-10,6.97177544170133e-11,0.999961601474503,9.82112981967572e-05,9.92036772730069,48.0668080518934,17.4846063316073,7,8,1,0,1,"BandEnergy_5_10, BandEnergy_0_5, StdVal, RMSVal, PeakToPeak, BandEnergy_10_30, BandEnergy_30_80, Amp4Hz",17.0093562720702,15.8101776822459,17.0093562725848,0.531306765524185,1.30977418707237,2.97712563129898,0.578727183713067,33.0746587262827,35.0766894616851,13.2058709738356,4.93251510234985
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_028,28,120,2048,2047.92135981978,-1.13286132814612e-10,2.136e-06,3.2522939431254e-05,3.2514998291196e-05,-7.15e-05,0.7016871,9.788e-05,0.0122075,0.00016938,1.05726571132085e-09,2.5142119165421e-05,7.15759223300971e-05,1.59658842436046e-05,-3.12506805825243e-06,-7.47009903883495e-05,1.02406653241509e-05,-1.64508181751481,5.69431175051987e-06,1.7984026467846,1.30804470968311e-05,4.44337121147128e-06,2.66244448988503e-06,7.75443916767372e-07,1.76536193115061e-09,1.06820122194341e-10,1.80181808449083e-10,4.0930035584717e-11,0.999961601474503,3.29880281750558e-05,17.7016075894931,8.46711844608739,1.71067424052065,1,1,1,0,1,"BandEnergy_10_30",0.474773728057522,1.8194346572256,0.474773728057996,2.47163354429773,1.49519226579834,0.0142099864342864,0.237160001436619,0.307489058350971,0.842251271635286,4.184954134356,1.3078648095776
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_029,29,120,2048,2047.92135981978,9.42724609343871e-11,3.6565e-05,0.0001376172160118,0.00013758361395639,-0.000441,0.24415,0.00013,0.5503141,0.000571,1.89299777125328e-08,9.17621940554091e-05,2.13988834951456e-05,7.88857898968437e-06,1.81290873786408e-05,-3.26979611650485e-06,5.04011896825297e-05,-3.10683153460841,1.95927116033892e-05,2.57244585140732,6.525836000921e-05,1.62832464057168e-05,4.5340004995275e-06,8.88873675129778e-07,3.58004097431174e-08,1.49670797493353e-09,4.83824393230256e-10,6.34619895231671e-11,0.999961601474503,0.000124827207893791,8.83072456406268,68.1491514520353,22.1064471957158,8,8,1,0,1,"BandEnergy_0_5, BandEnergy_5_10, StdVal, RMSVal, PeakToPeak, BandEnergy_10_30, Amp4Hz, BandEnergy_30_80",21.8595682706858,20.9432594945705,21.8595682714235,0.121366168394716,0.126724989495141,7.09042664522306,0.4015222071538,51.0357768771675,33.3297904791953,14.0773607304338,4.14485421869014
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_032,32,120,2048,2047.92135981978,4.34765624997327e-10,5.402e-05,0.000129702420597446,0.000129670751101769,-0.0004032,0.7348915,0.0001315,0.9971086,0.0005347,1.68151493682387e-08,9.006836357048e-05,2.51048155339806e-05,9.64617861118961e-06,0.000103152038834951,7.80472233009709e-05,5.18335714337007e-05,2.87955651102142,1.7025914604179e-05,3.04439277642695,6.10762276528337e-05,1.53044706906458e-05,3.62608917726616e-06,1.07980137143612e-06,3.1622196391092e-08,1.56392570443514e-09,3.13948314103188e-10,8.07227240822501e-11,0.999961601474503,0.000122234251667561,9.73509818279373,84.085479333316,20.4161359621826,8,8,1,0,1,"BandEnergy_0_5, BandEnergy_5_10, StdVal, RMSVal, PeakToPeak, BandEnergy_10_30, Amp4Hz, BandEnergy_30_80",20.2490497983641,19.2147727618489,20.2490497989069,0.632777947504883,1.43113332736055,7.34280989398078,0.79093729743408,44.8082666159524,34.9009522231611,8.54294846450106,6.31814648048808
