MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio,OutlierScore,NumStrongFeatures,NumModerateFeatures,IsStrongOutlier,IsModerateOutlier,IsCandidateOutlier,OutlierReason,RZ_RMSVal,RZ_PeakToPeak,RZ_StdVal,RZ_BaselineStd,RZ_Drift,RZ_Amp4Hz,RZ_SNR4Hz,RZ_BandEnergy_0_5,RZ_BandEnergy_5_10,RZ_BandEnergy_10_30,RZ_BandEnergy_30_80
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_001,1,120,2048,2047.92135981978,-3.24614257812756e-11,-3.477e-06,2.78385814523936e-05,2.78317840938807e-05,-5.701e-05,0.283214,6.386e-05,0.1157271,0.00012087,7.74637950803493e-10,2.31026019793863e-05,2.94698058252427e-05,4.64443204079189e-06,-3.11033009708738e-05,-6.05731067961165e-05,1.36312300043034e-05,-2.31311911985767,3.83935536675567e-06,3.55039549647985,1.28054734449584e-05,3.85119689817557e-06,1.17123298045876e-06,6.01563899761356e-07,1.38558573917498e-09,9.08453204116662e-11,4.0788070402447e-11,2.35011887222872e-11,2.99988480442351,2.39569074478574e-05,15.7710882031884,22.9653596938777,0.732901385300371,0,0,0,0,0,"Drift, SNR4Hz, BandEnergy_30_80",0.478408844822652,0.490452158320433,0.478408844817219,0.822588838495332,1.22453255505888,0.611621764684397,1.20845266720425,0.258556744778476,0.468852800510557,0.35637044532455,0.886594405847142
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_002,2,120,2048,2047.92135981978,-5.46875001068924e-13,3.7785e-06,3.12662045342769e-05,3.12585702515275e-05,-6.876e-05,0.5625216,5.118e-05,0.883823,0.00011994,9.77135734741105e-10,2.61989834730381e-05,-1.46893911650485e-05,1.00925617454163e-05,2.40261349514563e-05,3.87155261165049e-05,1.18958023474076e-05,2.09115937426459,3.7340127203671e-06,3.18579588168374,1.30838776478459e-05,2.44050730881743e-06,1.11649955399236e-06,7.18459489832391e-07,1.83657058114163e-09,3.90628212738723e-11,3.34584270408352e-11,3.50600199198754e-11,0.999961601474503,3.33076146728392e-05,17.521006397177,27.3740489948804,0.582993803627652,0,0,0,0,0,"SNR4Hz, BaselineStd, BandEnergy_5_10",0.219050786284636,0.534735702712472,0.219050786316869,0.762662814369008,0.677623028854678,0.305842338443246,0.907612499835695,0.413623561581013,0.741522531347386,0.595163737080911,0.568773458779914
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_003,3,120,2048,2047.92135981978,6.39892578119769e-11,-1.2e-06,2.68841629248712e-05,2.68775986072021e-05,-6.156e-05,0.2534277,5.531e-05,0.8379228,0.00011687,7.22433047253658e-10,2.1140082602493e-05,3.54318446601942e-05,7.7701824173672e-06,-3.66118446601942e-05,-7.20436893203884e-05,2.03959354813565e-05,-2.5241724271027,3.88832608284784e-06,5.24542825000255,1.19783554121454e-05,3.90404205566689e-06,1.88253295291957e-06,7.63090149858561e-07,1.20294733943986e-09,9.13475634353609e-11,9.67280792037404e-11,4.2468359473458e-11,2.99988480442351,2.14459347911128e-05,18.006108942875,9.29831862462547,1.29433729570169,0,1,0,0,0,"SNR4Hz",0.672615844305745,0.680919015920601,0.672615844318332,0.0869161144982468,1.44428412136846,1.80355146065551,2.60706615051834,0.530774176636281,0.480592337547195,1.46610551748999,1.5015545620094
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_004,4,120,2048,2047.92135981978,-8.30761719081615e-12,5.7945e-06,2.75754734045755e-05,2.75687402892512e-05,-6.916e-05,0.566428,4.989e-05,0.1919019,0.00011905,7.60064626497122e-10,2.32332282281517e-05,-2.36259213592233e-05,1.1012062667274e-05,-1.19142837281553e-05,1.1711637631068e-05,9.66597171507546e-06,2.12257322610244,3.0492985349758e-06,3.16990009456333,1.24523665154741e-05,1.77625227993845e-06,1.03671635722505e-06,6.61022998337526e-07,1.43575421956488e-09,1.92183135462238e-11,2.71057895872621e-11,3.05185828092908e-11,0.999961601474503,2.8250205267152e-05,17.1648480423756,25.2491587528103,0.669045481103621,0,0,0,0,0,"BandEnergy_5_10, BaselineStd, SNR4Hz",0.531946599004528,0.577114578528509,0.531946598997237,1.03021157609323,0.160286897183322,0.0870500582292149,0.894496492402628,0.183782026473051,1.20537234598253,0.802127041300924,0.00303709169760038
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_005,5,120,2048,2047.92135981978,-3.09179687483115e-11,3.3975e-06,3.10916367966876e-05,3.10840451382339e-05,-6.025e-05,0.9414424,7.304e-05,0.576194,0.00013329,9.66254964921667e-10,2.48373916098399e-05,-2.6844854368932e-05,4.66382823988327e-06,-4.60955339805825e-05,-1.92506796116505e-05,9.64056359471012e-06,-2.82730768521858,4.79822431414972e-06,2.00919401909462,1.44838350559259e-05,3.22673781961384e-06,1.19027426251803e-06,6.52026485214632e-07,1.79449539127647e-09,6.65469773602381e-11,3.66992446826984e-11,2.83099498764142e-11,1.99992320294901,2.84176233973654e-05,15.5737074902379,28.6272737991359,0.356294140180728,0,0,0,0,0,"BaselineStd, BandEnergy_10_30, Drift",0.183529392320473,0.100947434528088,0.183529392348414,0.816945093148595,0.432884172922665,0.0915269261852535,0.0632308222709823,0.350911666674824,0.0991019240424187,0.489580767418875,0.281125190772557
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_006,6,120,2048,2047.92135981978,5.9590820315261e-11,2.992e-06,2.07721562663806e-05,2.0767084320043e-05,-5.802e-05,0.6504156,3.823e-05,0.4775574,9.625e-05,4.31288351992556e-10,1.69404402056986e-05,-3.93504854368932e-05,3.86194007392525e-06,1.29785417475728e-06,4.06483396116505e-05,6.01088157552811e-06,2.08734318286072,2.89464981806554e-06,2.07654878927083,8.64963249061252e-06,1.62861753203073e-06,1.35354544611117e-06,6.99027773960092e-07,7.53888925086421e-10,1.51071009499093e-11,4.9506064566761e-11,3.56802794039784e-11,2.99988480442351,2.09917941509235e-05,20.426547586276,9.02719832488393,1.1990619336316,0,0,0,0,0,"StdVal, RMSVal, PeakToPeak",1.91629923875614,1.66277566684947,1.91629923881156,1.05027186938491,0.714651557444554,0.731070776286484,0.00765473411682099,1.20008319646299,1.30146871818274,0.072345913529119,0.646870085113727
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_007,7,120,2048,2047.92135981978,1.89892578106388e-11,3.353e-06,3.08794813798126e-05,3.08719415234297e-05,-7.061e-05,0.2124105,6.114e-05,0.7241489,0.00013175,9.53113371574164e-10,2.50693730322329e-05,1.91798058252427e-05,3.41072500503423e-06,6.93790873786408e-06,-1.22418970873786e-05,1.3941976198457e-06,-0.280760617984273,5.22514365447074e-06,0.266824744348138,1.30326987514702e-05,5.14344677867199e-06,1.35737914095729e-06,6.75076740085267e-07,1.62816836704864e-09,1.88509974178424e-10,4.77198860982165e-11,3.40433756643062e-11,2.99988480442351,2.29975368479078e-05,15.8374763547014,22.2187002881683,1.1264342094147,0,1,0,0,0,"BandEnergy_5_10",0.140359581853091,0.0276176943520242,0.140359581881554,1.18156269257321,0.298611049968981,1.54452270296052,1.50090284100226,0.103005884268078,2.75168753583629,0.13053802672278,0.440768182639033
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_008,8,120,2048,2047.92135981978,-2.99609374997881e-11,1.1855e-05,3.32084851037583e-05,3.32003765735316e-05,-0.0001032,0.4712095,4.519e-05,0.8384111,0.00014839,1.10230733160048e-09,2.51437747905181e-05,7.12812621359223e-07,7.8001044994468e-06,8.7076786407767e-06,7.99486601941747e-06,1.58152891162867e-05,-2.60612940226746,4.18970474158908e-06,3.7747980086659,1.54629622752491e-05,2.81110352312669e-06,1.10919479172064e-06,7.57445058352993e-07,2.08285642031619e-09,4.63169138640037e-11,3.01663380710716e-11,3.78476586085417e-11,0.999961601474503,2.97156740854978e-05,16.4588860378203,31.3048267570858,0.777825382159029,0,0,0,0,0,"SNR4Hz, Amp4Hz, BandEnergy_30_80",0.614269938785476,0.819959821968723,0.61426993882797,0.0956225940876672,0.0890815872919639,0.996449296667835,1.39361273480808,0.780705723603216,0.571963802581817,0.702417081215213,0.919763943572404
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_009,9,120,2048,2047.92135981978,1.59233398436348e-10,3.2215e-06,2.05121341955533e-05,2.05071257394504e-05,-4.242e-05,0.2104573,4.907e-05,0.9556031,9.149e-05,4.20558354914342e-10,1.6922215798877e-05,1.53260776699029e-05,7.36748421648684e-06,2.74630194174757e-05,1.21369417475728e-05,2.63300572685888e-06,1.1627898051737,3.25416633588349e-06,0.809118359330692,8.73549434385599e-06,2.65632424288681e-06,1.44764251676726e-06,7.38040751032355e-07,7.02651892768965e-10,3.72157773441358e-11,5.67340107727739e-11,3.90808787987437e-11,2.99988480442351,1.9048822861136e-05,20.2468008377492,7.7218265222853,1.26673778393233,0,0,0,0,0,"StdVal, RMSVal, PeakToPeak",1.96920905202788,1.88943122739367,1.96920905219345,0.030257672316929,0.168434804716533,1.32624680382973,1.05344295549062,1.27645056156092,0.784695735550258,0.163134174930761,1.07503820998818
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_010,10,120,2048,2047.92135981978,1.07207031255627e-11,6.81e-06,2.58338724936528e-05,2.58275646257808e-05,-6.654e-05,0.2910268,5.893e-05,0.8804049,0.00012547,6.67088709721715e-10,2.02140069907972e-05,6.97175922330097e-06,1.029073038942e-05,-1.74595360873786e-05,-2.44312953106796e-05,1.41080697183547e-05,2.73968786856135,4.05641807904719e-06,3.47796243943777,1.22574870840474e-05,2.94122431000794e-06,1.60475196048373e-06,6.22357928166879e-07,1.17709827280686e-09,5.58275905717064e-11,6.20140149765414e-11,2.87427606253068e-11,0.999961601474503,2.08273012859852e-05,16.1635495994253,13.5849124073217,0.675168609304054,0,0,0,0,0,"SNR4Hz, StdVal, RMSVal",0.886331051395041,0.271415272080239,0.886331051399608,0.820324284907439,0.532133571277165,0.695640118081168,1.14868635885052,0.569301488225529,0.349659188707406,0.335152037478961,0.226630160554027
