MouseID,FileName,NumCurves,NumPhase1Candidates,NumFinalExcluded,NumKeptCandidates,Phase1CandidateRatio,FinalExcludeRatio,MeanFeatureScore,MeanWaveformScore,MeanCombinedScore,MaxCombinedScore
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,120,22,14,8,0.183333333333333,0.116666666666667,2.14875074504974,2.18702645540054,2.19460368329611,28.7348335085285
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,120,20,10,10,0.166666666666667,0.0833333333333333,2.66935851738882,2.26843849518955,2.61136673149802,103.732378574349
mdx5Cv_662,saw4Hzlow_s2_c1_5cv662.csv,120,10,5,5,0.0833333333333333,0.0416666666666667,0.997549566215913,0.856212536431955,0.970625160584076,2.67275915039789
mdx5Cv_662,saw4Hzlow_s2_c2_5cv662.csv,120,14,4,10,0.116666666666667,0.0333333333333333,1.03702489247313,0.990083236197368,1.04032802993201,2.51281597608068
mdx5Cv_663WT,saw4Hzhigh_s1_c2_5cv663WT.csv,120,6,4,2,0.05,0.0333333333333333,1.01246218327643,0.952136386368415,1.00649777634589,4.58104858797541
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,160,17,9,8,0.10625,0.05625,1.31059574602885,1.17404809852127,1.29103216182035,31.1371513595892
mdx5Cv_663WT,saw4Hzlow_s1_c1_5cv663WT.csv,80,13,6,7,0.1625,0.075,1.0552072550929,1.02096435321377,1.06690675210449,3.24366131016882
mdx5Cv_663WT,saw4Hzlow_s1_c2_5cv663WT.csv,80,8,4,4,0.1,0.05,1.06057373005505,1.12293815025846,1.12224965958366,7.24677095134263
mdx5Cv_701,saw4Hzhigh_s1_c1_5cv701.csv,160,7,3,4,0.04375,0.01875,0.966555548258446,0.866636606980459,0.949775274785511,1.84150365513553
mdx5Cv_701,saw4Hzhigh_s1_c2_5cv701.csv,160,10,4,6,0.0625,0.025,0.979052522916574,0.836847236792884,0.951673381093652,2.12913333043588
mdx5Cv_701,saw4Hzlow_s1_c1_5cv701.csv,40,1,1,0,0.025,0.025,1.00025045712617,0.884056086000083,0.991426106151597,2.05283760800352
mdx5Cv_701,saw4Hzlow_s1_c2_5cv701.csv,40,3,0,3,0.075,0,0.951736425972788,0.915076006956783,0.972642568333097,1.87822690615114
mdx5Cv_702WT,saw4Hzhigh_s1_c1_5cv702WT.csv,200,27,16,11,0.135,0.08,1.00311421349723,0.951207929580555,1.00015775426633,3.31985081459781
mdx5Cv_702WT,saw4Hzhigh_s1_c2_5cv702WT.csv,200,29,20,9,0.145,0.1,1.02618279090247,0.992689499120245,1.03277207162534,2.54239309400557
mdx5Cv_702WT,saw4Hzlow_s1_c1_5cv702WT.csv,80,9,1,8,0.1125,0.0125,1.00924943500552,1.03583132352469,1.05215765720068,2.11607265762219
mdx5Cv_702WT,saw4Hzlow_s1_c2_5cv702WT.csv,80,7,1,6,0.0875,0.0125,0.999638328611059,0.984276839477611,1.02057289167427,2.08697823077969
mdx5Cv_710,saw4Hzhigh_s1_c1_5cv710.csv,120,13,2,11,0.108333333333333,0.0166666666666667,1.01314153810943,0.889965539819453,1.00018037610248,1.89109405678447
mdx5Cv_710,saw4Hzhigh_s1_c2_5cv710.csv,120,8,3,5,0.0666666666666667,0.025,0.974541869184332,0.901406115419503,0.970206314440367,1.89386003475909
mdx5Cv_710,saw4Hzlow_s1_c1_5cv710.csv,80,17,5,12,0.2125,0.0625,0.912336007699264,1.12423017109933,1.02074443825877,2.27854742259462
mdx5Cv_710,saw4Hzlow_s1_c2_5cv710.csv,80,16,10,6,0.2,0.125,0.936030594941536,1.18494279348235,1.05454942931802,2.56648676435892
