MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio,WaveRMSEToMedian,WaveMAEToMedian,WaveMaxAbsToMedian,WaveCorrToMedian,WaveCorrDistToMedian,WaveDerivRMSToMedian,FeatureScore,WaveformScore,CombinedScore,MaxRZ,NumStrongFeatures,NumModerateFeatures,AmpShapeScore,BaselineScore,FlickerScore,SpectralScore,WaveformGroupScore,NumHighGroups,IsPhase1Candidate,IsFinalExclude,OutlierGroup,SelectionReason,TopFeatureReason,RZ_RMSVal,RZ_PeakToPeak,RZ_StdVal,RZ_BaselineStd,RZ_Drift,RZ_Amp4Hz,RZ_SNR4Hz,RZ_BandEnergy_0_5,RZ_BandEnergy_5_10,RZ_BandEnergy_10_30,RZ_BandEnergy_30_80,RZ_WaveRMSEToMedian,RZ_WaveMAEToMedian,RZ_WaveMaxAbsToMedian,RZ_WaveCorrDistToMedian,RZ_WaveDerivRMSToMedian
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_022,22,120,2048,2047.92135981978,-2.64736328142501e-11,5.873e-06,2.81960438288645e-05,2.81891591886013e-05,-6.645e-05,0.415055,4.724e-05,0.6362549,0.00011369,7.9465920950222e-10,2.27721392788754e-05,2.67792233009709e-05,1.05335378196818e-05,-3.57787378640777e-05,-6.25579611650485e-05,7.32963450475331e-06,-2.01797234374536,5.26369954299402e-06,1.39248725056882,1.1968377755994e-05,3.07973123740518e-06,2.43462241512791e-06,6.37369048118844e-07,1.32330548897694e-09,5.50767139409741e-11,1.73991180094871e-10,2.62841935513058e-11,1.99992320294901,2.4120844215145e-05,16.8558533046336,6.8824271782274,2.96010217001452e-05,2.27222156296387e-05,7.3874e-05,-0.163284420355889,1.16328442035589,1.40888302220898e-06,1.36175214913135,0.753590039533782,1.20513349392103,3.98326894316582,1,1,0.832340167712734,1.26255807429875,0.572090842774232,3.98326894316582,1.65376479884114,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.405671682284933,0.832340167712734,0.405671682275788,0.890974379714019,1.26255807429875,0.498708734313719,0.572090842774232,0.351383717578063,0.367210341437376,3.98326894316582,0.536187368490225,0.049462408203077,0.235466285001142,0.0670436706933342,1.65376479884114,0.20534355007896
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_028,28,120,2048,2047.92135981978,-1.13286132814612e-10,2.136e-06,3.2522939431254e-05,3.2514998291196e-05,-7.15e-05,0.7016871,9.788e-05,0.0122075,0.00016938,1.05726571132085e-09,2.5142119165421e-05,7.15759223300971e-05,1.59658842436046e-05,-3.12506805825243e-06,-7.47009903883495e-05,1.02406653241509e-05,-1.64508181751481,5.69431175051987e-06,1.7984026467846,1.30804470968311e-05,4.44337121147128e-06,2.66244448988503e-06,7.75443916767372e-07,1.76536193115061e-09,1.06820122194341e-10,1.80181808449083e-10,4.0930035584717e-11,0.999961601474503,3.29880281750558e-05,17.7016075894931,8.46711844608739,3.09488579450579e-05,2.37979300095215e-05,9.673995e-05,0.410902129359945,0.589097870640055,1.35648785987156e-06,1.71067424052065,0.974459077840471,1.51942263707548,4.184954134356,1,1,1.8194346572256,2.47163354429773,0.237160001436619,4.184954134356,1.70051966631426,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.474773728057522,1.8194346572256,0.474773728057996,2.47163354429773,1.49519226579834,0.0142099864342864,0.237160001436619,0.307489058350971,0.842251271635286,4.184954134356,1.3078648095776,0.217071122056662,0.00214409452829808,1.70051966631426,1.11377889417053,0.753961167524522
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_037,37,120,2048,2047.92135981978,1.27685546881186e-11,-2.6015e-06,2.81133900137389e-05,2.8106525555084e-05,-6.067e-05,0.5429896,7.095e-05,0.0083011,0.00013162,7.90007113886896e-10,2.32815601250411e-05,4.31613980582524e-05,1.8974824186501e-05,-1.25120801941748e-05,-5.56734782524272e-05,2.16985710475369e-06,-2.21232161394243,6.62651756928459e-06,0.327450592561433,1.01316445875581e-05,4.70711334474642e-06,2.26602152125961e-06,8.10664573010535e-07,1.22437883519676e-09,1.38056160034086e-10,1.60662295616077e-10,4.27630250365753e-11,1.99992320294901,2.90948443250774e-05,18.8451478704436,6.69746275303519,2.81697887563017e-05,2.32097146652832e-05,6.94355e-05,0.111788178628598,0.888211821371402,1.45763288704882e-06,1.77381447697631,0.548238982010608,1.50236117688579,3.54902568696575,1,2,0.422490246647761,3.34714996487731,1.45087895292561,3.54902568696575,1.09790639819507,2,1,0,mixed,candidate_kept,"BandEnergy_10_30, BaselineStd",0.422490246647761,0.0214275214800181,0.422490246637203,3.34714996487731,1.13066626321777,1.40785280991645,1.45087895292561,0.498831131010193,1.57236917431903,3.54902568696575,1.5386557865227,0.332487568408162,0.129727861329264,0.250029672271356,0.327931867337259,1.09790639819507
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_041,41,120,2048,2047.92135981978,-1.39306640616266e-11,4.8435e-06,4.05169541269232e-05,4.05070610846277e-05,-0.000114,0.2348723,8.109e-05,0.5967026,0.00019509,1.64088500527847e-09,3.4213859772509e-05,-2.08056310679612e-05,3.74471671482897e-06,-1.48177970873786e-06,1.93238513592233e-05,7.9986902030243e-06,2.65595967820736,6.7568401665292e-06,1.18379153652086,1.78213927922158e-05,4.71131830386288e-06,2.11056657337308e-06,6.47102235186902e-07,2.98622039479303e-09,1.29912826035953e-10,1.29037046909651e-10,2.78424204558856e-11,0.999961601474503,3.88323103182927e-05,13.8681685925305,19.863203659731,4.09517940996431e-05,3.45706971359863e-05,0.0001117575,-0.00247659422846552,1.00247659422847,1.47132511718934e-06,1.73096175253081,2.02734016086369,1.82874709697692,3.04366038445068,0,3,3.04366038445068,1.08438055141646,0.744290842432485,2.51870308207978,2.77332912483389,1,1,0,amplitude_shape,candidate_kept,"PeakToPeak, WaveMaxAbsToMedian, BandEnergy_10_30",2.10141189900221,3.04366038445068,2.10141189909589,1.08438055141646,0.306120457624191,0.380822248681342,0.744290842432485,2.12714448742063,1.38202512460076,2.51870308207978,0.339991635205711,2.1951436782054,2.33446650620982,2.77332912483389,0.878681012559278,1.34859788157527
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_050,50,120,2048,2047.92135981978,6.06298828115368e-11,3.1305e-06,3.59425391171342e-05,3.59337630117884e-05,-8.932e-05,0.107426,8.174e-05,0.3579239,0.00017106,1.29128490762382e-09,2.7967921158379e-05,-2.08841359223301e-05,2.08791381710467e-05,1.74813203883495e-05,3.83654563106796e-05,3.49042752961536e-06,2.41948693015163,6.40454098733378e-06,0.544992613271949,1.56797659746634e-05,6.04463941068929e-06,1.07877320370665e-06,5.69338011571324e-07,2.31940060864451e-09,2.05115228207418e-10,2.95803919145287e-11,2.08533584572974e-11,1.99992320294901,3.35356619074834e-05,13.6107950286857,50.0558594910413,3.51158601895079e-05,2.66943533742676e-05,9.9475e-05,0.257781443536967,0.742218556463033,1.43843031579784e-06,1.86273214727742,1.07410425163885,1.65710555816557,3.90125147406336,1,2,1.89943073741767,3.90125147406336,1.271379646661,3.13982233409016,1.89590356778448,2,1,0,mixed,candidate_kept,"BaselineStd, BandEnergy_5_10",1.17060074240043,1.89943073741767,1.17060074245358,3.90125147406336,0.670916448087309,1.17517052827785,1.271379646661,1.13326822722245,3.13982233409016,0.721506688254716,1.21998166730807,1.04109245477091,0.626089437194964,1.89590356778448,0.375746649199398,0.746325901649392
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_078,78,120,2048,2047.92135981978,-7.86132809590379e-13,2.425e-06,2.65988187772682e-05,2.65923241321275e-05,-6.591e-05,0.78128,6.495e-05,0.9883192,0.00013086,7.07178857373517e-10,2.0876908600515e-05,4.22121359223301e-05,9.24078530430004e-06,3.89499029126214e-05,-3.26223300970873e-06,3.96609233470877e-06,1.59332834451032,3.89496079168429e-06,1.01826245413054,1.16433544276304e-05,3.51400081981077e-06,1.41675847333132e-06,7.0077874851008e-07,1.23719985861473e-09,8.51637734336354e-11,5.2112436234544e-11,3.10415963844873e-11,2.99988480442351,2.5667902119978e-05,17.7646353818307,15.9025372471608,2.63284358481782e-05,2.07300487902832e-05,6.529855e-05,0.183565365481233,0.816434634518767,1.61809500338222e-06,0.577079678367549,1.87171900999035,1.15054038305999,4.03581246295666,1,1,0.730678244758095,0.514819961067566,1.09135919185791,0.479721753827244,4.03581246295666,1,1,0,waveform_shape,candidate_kept,"WaveDerivRMSToMedian",0.730678244758095,0.0147611814640131,0.730678244757097,0.514819961067566,0.126580096717368,1.09135919185791,0.88087298577489,0.479721753827244,0.336051092916235,0.0125673679751469,0.062815340706077,0.696613620744729,0.667566793684878,0.545561173043639,0.018029738476118,4.03581246295666
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_085,85,120,2048,2047.92135981978,-1.22558593742427e-11,-7.632e-06,3.58996733822524e-05,3.58909077434027e-05,-7.084e-05,0.9907607,8.259e-05,0.6806902,0.00015343,1.28820672388418e-09,3.085986265877e-05,2.3217572815534e-05,8.51626910119447e-06,-5.83674757281553e-05,-8.15850485436893e-05,1.06329281338508e-05,-2.79732272273407,5.86688312833539e-06,1.81236406126693,1.57342745044221e-05,5.05886327021591e-06,2.45739846282158e-06,8.00536224187965e-07,2.20702316521617e-09,1.51783321381349e-10,1.6203130500959e-10,4.00323413020972e-11,0.999961601474503,3.47980797416014e-05,16.4363222152046,11.6735688858451,3.71720869750988e-05,3.1996022494873e-05,8.43915e-05,-0.161472148320127,1.16147214832013,1.44060418440625e-06,1.52195725644684,1.35970441663817,1.47317415166388,3.59362680101647,1,1,1.16187833659835,1.62707593944797,0.225640092750169,3.59362680101647,1.77602019531744,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",1.16187833653551,1.05994806254493,1.16187833659835,0.304006237685538,1.62707593944797,0.0833260319284139,0.225640092750169,0.965772787637047,1.89323081189562,3.59362680101647,1.19483647748664,1.44770964305826,1.77602019531744,0.818382835868762,1.64502975960158,0.78612733213391
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_095,95,120,2048,2047.92135981978,1.03339843740375e-11,-1.6445e-06,2.89611795947564e-05,2.89541081309501e-05,-6.729e-05,0.6709242,6.385e-05,0.8906592,0.00013114,8.38372569929251e-10,2.29412468592712e-05,-4.37003883495146e-05,7.53567800433119e-06,3.32811650485437e-05,7.69815533980583e-05,9.1333314200278e-06,-2.93266190853463,4.9198578484063e-06,1.85642181157209,1.2539956836051e-05,3.10791885375261e-06,1.49108103047603e-06,9.01196847374781e-07,1.49284666877671e-09,4.99232984125509e-11,6.00730766843577e-11,5.88506577542022e-11,1.99992320294901,2.84685491614735e-05,19.2733659409469,12.9727433631731,2.75901853214724e-05,2.18386709553223e-05,6.4978e-05,0.385089416391921,0.614910583608079,1.44436573132708e-06,1.17586863521012,0.695029443945456,1.04954356626272,3.56424325941895,1,1,0.249980319415393,1.41071739557692,0.189286952379742,3.56424325941895,0.989363212525723,1,1,0,spectral_energy,candidate_kept,"BandEnergy_30_80",0.249980319415393,0.00142850143200181,0.249980319398966,0.0186819628675,1.41071739557692,0.180900379886484,0.189286952379742,0.0986873260953837,0.487667390329877,0.271917986240676,3.56424325941895,0.447103680134514,0.427106912520291,0.568460319171235,0.989363212525723,0.854997616062015
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_017,17,120,2048,2047.92135981978,2.1936035155659e-10,1.0965e-05,4.24823719156963e-05,4.24719989770493e-05,-0.0001268,0.0644556,7.08e-05,0.3227663,0.0001976,1.80393996574124e-09,3.2981218270971e-05,-0.000102832815533981,1.53089488386391e-05,1.24199932038835e-05,0.000115252808737864,1.82185879076401e-05,1.87657546959968,5.59804596392129e-06,3.25445486234554,1.84378239038681e-05,7.04592616554756e-06,2.42074357830193e-06,1.08506448014e-06,3.0754180709188e-09,2.7935609294969e-10,1.47168932410441e-10,8.45181415470872e-11,0.999961601474503,4.39363831204797e-05,17.5226643854946,14.4797501708406,4.27883524061925e-05,3.31115625991211e-05,0.0001268505605,0.0413894891343377,0.958610510865662,1.5919610452508e-06,2.05740675601059,1.58048784097163,1.92113015621264,3.37546944574051,0,3,1.72123955667508,1.95116322977707,1.04094493154461,3.37546944574051,1.97090325341509,1,1,0,spectral_energy,candidate_kept,"BandEnergy_5_10, BandEnergy_30_80, BandEnergy_10_30",1.626563252997,1.72123955667508,1.6265632528982,1.53077353317863,1.95116322977707,1.04094493154461,0.819404723548445,1.43808704651528,3.37546944574051,2.87340599133886,2.94693403033983,1.72056079507294,1.27055300562576,1.97090325341509,1.3737664474109,1.46402896190442
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_022,22,120,2048,2047.92135981978,1.15136718738004e-11,6.779e-06,3.2140792267193e-05,3.21329444359788e-05,-7.685e-05,0.4111486,6.778e-05,0.6391847,0.00014463,1.03256576712864e-09,2.574158492328e-05,2.05907669902913e-05,7.85948307336229e-06,-4.35539805825243e-05,-6.41447475728155e-05,9.25504665844241e-06,-2.06444350478394,5.7614424494745e-06,1.60637665641004,1.41172579233377e-05,3.77838310432853e-06,2.59185352079472e-06,8.64179130693519e-07,1.73288683028743e-09,7.69904992588772e-11,1.88084737646762e-10,5.0427221332468e-11,1.99992320294901,2.77580926296883e-05,17.9339242833628,7.58819663539721,3.26427118868711e-05,2.4687591859375e-05,8.36535e-05,0.039676458006678,0.960323541993322,1.44167082660739e-06,1.32052512083167,0.723549588588875,1.16724227824492,4.20963048710895,1,1,0.137685520415061,0.995565090584036,0.414277318295936,4.20963048710895,1.38819798965095,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.137685520415061,0.110484387414905,0.137685520414521,0.154546107217983,0.995565090584036,0.353822668577761,0.414277318295936,0.220950326600002,0.14805384763768,4.20963048710895,0.167190862712041,0.00408001653076243,0.221310287398285,0.0678351411075145,1.38819798965095,0.79807886894244
