MouseID,FileName,NumCurves,NumPhase1Candidates,NumFinalExcluded,NumKeptCandidates,Phase1CandidateRatio,FinalExcludeRatio,MeanOutlierScore,MaxOutlierScore
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,120,20,13,7,0.166666666666667,0.108333333333333,2.14875074504974,30.4035585067979
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,120,18,9,9,0.15,0.075,2.66935851738882,119.239357391022
mdx5Cv_662,saw4Hzlow_s2_c1_5cv662.csv,120,9,4,5,0.075,0.0333333333333333,0.997549566215913,3.14048118961115
mdx5Cv_662,saw4Hzlow_s2_c2_5cv662.csv,120,9,4,5,0.075,0.0333333333333333,1.03702489247313,2.97130138805608
mdx5Cv_663WT,saw4Hzhigh_s1_c2_5cv663WT.csv,120,6,4,2,0.05,0.0333333333333333,1.01246218327643,4.70663419241854
mdx5Cv_663WT,saw4Hzhigh_s2_c1_5cv663WT.csv,160,15,8,7,0.09375,0.05,1.31059574602885,35.4615077600799
mdx5Cv_663WT,saw4Hzlow_s1_c1_5cv663WT.csv,80,9,4,5,0.1125,0.05,1.0552072550929,3.75420535003225
mdx5Cv_663WT,saw4Hzlow_s1_c2_5cv663WT.csv,80,6,4,2,0.075,0.05,1.06057373005505,3.08105052518998
mdx5Cv_701,saw4Hzhigh_s1_c1_5cv701.csv,160,6,2,4,0.0375,0.0125,0.966555548258446,2.10727393851485
mdx5Cv_701,saw4Hzhigh_s1_c2_5cv701.csv,160,10,3,7,0.0625,0.01875,0.979052522916574,2.50031684262884
mdx5Cv_701,saw4Hzlow_s1_c1_5cv701.csv,40,1,1,0,0.025,0.025,1.00025045712617,2.39477925960158
mdx5Cv_701,saw4Hzlow_s1_c2_5cv701.csv,40,3,0,3,0.075,0,0.951736425972788,2.22075209251881
mdx5Cv_702WT,saw4Hzhigh_s1_c1_5cv702WT.csv,200,21,10,11,0.105,0.05,1.00311421349723,3.74603207793968
mdx5Cv_702WT,saw4Hzhigh_s1_c2_5cv702WT.csv,200,27,14,13,0.135,0.07,1.02618279090247,2.79895028924288
mdx5Cv_702WT,saw4Hzlow_s1_c1_5cv702WT.csv,80,5,1,4,0.0625,0.0125,1.00924943500552,2.25757424247748
mdx5Cv_702WT,saw4Hzlow_s1_c2_5cv702WT.csv,80,4,1,3,0.05,0.0125,0.999638328611059,2.27889267774494
mdx5Cv_710,saw4Hzhigh_s1_c1_5cv710.csv,120,11,0,11,0.0916666666666667,0,1.01314153810943,2.10275033554791
mdx5Cv_710,saw4Hzhigh_s1_c2_5cv710.csv,120,7,0,7,0.0583333333333333,0,0.974541869184332,2.06922469984116
mdx5Cv_710,saw4Hzlow_s1_c1_5cv710.csv,80,5,2,3,0.0625,0.025,0.912336007699264,2.05117556475784
mdx5Cv_710,saw4Hzlow_s1_c2_5cv710.csv,80,6,2,4,0.075,0.025,0.936030594941536,2.31355970058566
