MouseID,FileName,Condition,CurveID,CurveIndex,NumCurvesInFile,NumSamples,Fs,MeanVal,MedianVal,StdVal,RMSVal,MinVal,MinTime,MaxVal,MaxTime,PeakToPeak,Energy,AbsArea,BaselineMean,BaselineStd,EndMean,Drift,Amp4Hz,Phase4Hz,NoiseAround4Hz,SNR4Hz,BandAmp_0_5,BandAmp_5_10,BandAmp_10_30,BandAmp_30_80,BandEnergy_0_5,BandEnergy_5_10,BandEnergy_10_30,BandEnergy_30_80,DominantFreq_0_80,DominantAmp_0_80,SpectralCentroid_0_80,LowHighRatio,OutlierScore,MaxRZ,NumStrongFeatures,NumModerateFeatures,AmpShapeScore,BaselineScore,FlickerScore,SpectralScore,NumHighGroups,IsPhase1Candidate,IsFinalExclude,OutlierGroup,SelectionReason,TopFeatureReason,RZ_RMSVal,RZ_PeakToPeak,RZ_StdVal,RZ_BaselineStd,RZ_Drift,RZ_Amp4Hz,RZ_SNR4Hz,RZ_BandEnergy_0_5,RZ_BandEnergy_5_10,RZ_BandEnergy_10_30,RZ_BandEnergy_30_80
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_022,22,120,2048,2047.92135981978,-2.64736328142501e-11,5.873e-06,2.81960438288645e-05,2.81891591886013e-05,-6.645e-05,0.415055,4.724e-05,0.6362549,0.00011369,7.9465920950222e-10,2.27721392788754e-05,2.67792233009709e-05,1.05335378196818e-05,-3.57787378640777e-05,-6.25579611650485e-05,7.32963450475331e-06,-2.01797234374536,5.26369954299402e-06,1.39248725056882,1.1968377755994e-05,3.07973123740518e-06,2.43462241512791e-06,6.37369048118844e-07,1.32330548897694e-09,5.50767139409741e-11,1.73991180094871e-10,2.62841935513058e-11,1.99992320294901,2.4120844215145e-05,16.8558533046336,6.8824271782274,1.36175214913135,3.98326894316582,1,1,0.832340167712734,1.26255807429875,0.572090842774232,3.98326894316582,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.405671682284933,0.832340167712734,0.405671682275788,0.890974379714019,1.26255807429875,0.498708734313719,0.572090842774232,0.351383717578063,0.367210341437376,3.98326894316582,0.536187368490225
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_028,28,120,2048,2047.92135981978,-1.13286132814612e-10,2.136e-06,3.2522939431254e-05,3.2514998291196e-05,-7.15e-05,0.7016871,9.788e-05,0.0122075,0.00016938,1.05726571132085e-09,2.5142119165421e-05,7.15759223300971e-05,1.59658842436046e-05,-3.12506805825243e-06,-7.47009903883495e-05,1.02406653241509e-05,-1.64508181751481,5.69431175051987e-06,1.7984026467846,1.30804470968311e-05,4.44337121147128e-06,2.66244448988503e-06,7.75443916767372e-07,1.76536193115061e-09,1.06820122194341e-10,1.80181808449083e-10,4.0930035584717e-11,0.999961601474503,3.29880281750558e-05,17.7016075894931,8.46711844608739,1.71067424052065,4.184954134356,1,1,1.8194346572256,2.47163354429773,0.237160001436619,4.184954134356,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.474773728057522,1.8194346572256,0.474773728057996,2.47163354429773,1.49519226579834,0.0142099864342864,0.237160001436619,0.307489058350971,0.842251271635286,4.184954134356,1.3078648095776
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_033,33,120,2048,2047.92135981978,5.92792968782125e-11,5.096e-06,2.90687005785097e-05,2.90616028613166e-05,-8.204e-05,0.9302115,4.71e-05,0.0024415,0.00012914,8.44609192616504e-10,2.24226805896692e-05,3.73383495145631e-05,7.23483174555192e-06,-5.95079611650485e-05,-9.68463106796116e-05,8.73003978814367e-06,-1.45934340877059,5.66900441242312e-06,1.53995995640268,1.26526516906347e-05,3.4837188458137e-06,2.55751773941559e-06,8.03556703376908e-07,1.36477979222131e-09,9.28448143146822e-11,1.60739671232666e-10,4.04341821384632e-11,1.99992320294901,2.52567251720491e-05,18.5258664090352,7.24558869488405,1.29975679368027,3.55154651605326,1,1,0.228101733609828,1.91944873316908,0.450407462691225,3.55154651605326,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.228101733609828,0.0966619302320855,0.228101733604595,0.068855789507059,1.91944873316908,0.251959685248696,0.450407462691225,0.289567427391288,0.515589403353361,3.55154651605326,1.2454320982674
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_037,37,120,2048,2047.92135981978,1.27685546881186e-11,-2.6015e-06,2.81133900137389e-05,2.8106525555084e-05,-6.067e-05,0.5429896,7.095e-05,0.0083011,0.00013162,7.90007113886896e-10,2.32815601250411e-05,4.31613980582524e-05,1.8974824186501e-05,-1.25120801941748e-05,-5.56734782524272e-05,2.16985710475369e-06,-2.21232161394243,6.62651756928459e-06,0.327450592561433,1.01316445875581e-05,4.70711334474642e-06,2.26602152125961e-06,8.10664573010535e-07,1.22437883519676e-09,1.38056160034086e-10,1.60662295616077e-10,4.27630250365753e-11,1.99992320294901,2.90948443250774e-05,18.8451478704436,6.69746275303519,1.77381447697631,3.54902568696575,1,2,0.422490246647761,3.34714996487731,1.45087895292561,3.54902568696575,2,1,0,mixed,candidate_kept,"BandEnergy_10_30, BaselineStd",0.422490246647761,0.0214275214800181,0.422490246637203,3.34714996487731,1.13066626321777,1.40785280991645,1.45087895292561,0.498831131010193,1.57236917431903,3.54902568696575,1.5386557865227
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_050,50,120,2048,2047.92135981978,6.06298828115368e-11,3.1305e-06,3.59425391171342e-05,3.59337630117884e-05,-8.932e-05,0.107426,8.174e-05,0.3579239,0.00017106,1.29128490762382e-09,2.7967921158379e-05,-2.08841359223301e-05,2.08791381710467e-05,1.74813203883495e-05,3.83654563106796e-05,3.49042752961536e-06,2.41948693015163,6.40454098733378e-06,0.544992613271949,1.56797659746634e-05,6.04463941068929e-06,1.07877320370665e-06,5.69338011571324e-07,2.31940060864451e-09,2.05115228207418e-10,2.95803919145287e-11,2.08533584572974e-11,1.99992320294901,3.35356619074834e-05,13.6107950286857,50.0558594910413,1.86273214727742,3.90125147406336,1,2,1.89943073741767,3.90125147406336,1.271379646661,3.13982233409016,1,1,0,baseline_drift,candidate_kept,"BaselineStd, BandEnergy_5_10",1.17060074240043,1.89943073741767,1.17060074245358,3.90125147406336,0.670916448087309,1.17517052827785,1.271379646661,1.13326822722245,3.13982233409016,0.721506688254716,1.21998166730807
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_085,85,120,2048,2047.92135981978,-1.22558593742427e-11,-7.632e-06,3.58996733822524e-05,3.58909077434027e-05,-7.084e-05,0.9907607,8.259e-05,0.6806902,0.00015343,1.28820672388418e-09,3.085986265877e-05,2.3217572815534e-05,8.51626910119447e-06,-5.83674757281553e-05,-8.15850485436893e-05,1.06329281338508e-05,-2.79732272273407,5.86688312833539e-06,1.81236406126693,1.57342745044221e-05,5.05886327021591e-06,2.45739846282158e-06,8.00536224187965e-07,2.20702316521617e-09,1.51783321381349e-10,1.6203130500959e-10,4.00323413020972e-11,0.999961601474503,3.47980797416014e-05,16.4363222152046,11.6735688858451,1.52195725644684,3.59362680101647,1,1,1.16187833659835,1.62707593944797,0.225640092750169,3.59362680101647,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",1.16187833653551,1.05994806254493,1.16187833659835,0.304006237685538,1.62707593944797,0.0833260319284139,0.225640092750169,0.965772787637047,1.89323081189562,3.59362680101647,1.19483647748664
mdx5Cv_662,saw4Hzhigh_s1_c1_5cv662.csv,high,saw4Hzhigh_s1_c1_5cv662_curve_095,95,120,2048,2047.92135981978,1.03339843740375e-11,-1.6445e-06,2.89611795947564e-05,2.89541081309501e-05,-6.729e-05,0.6709242,6.385e-05,0.8906592,0.00013114,8.38372569929251e-10,2.29412468592712e-05,-4.37003883495146e-05,7.53567800433119e-06,3.32811650485437e-05,7.69815533980583e-05,9.1333314200278e-06,-2.93266190853463,4.9198578484063e-06,1.85642181157209,1.2539956836051e-05,3.10791885375261e-06,1.49108103047603e-06,9.01196847374781e-07,1.49284666877671e-09,4.99232984125509e-11,6.00730766843577e-11,5.88506577542022e-11,1.99992320294901,2.84685491614735e-05,19.2733659409469,12.9727433631731,1.17586863521012,3.56424325941895,1,1,0.249980319415393,1.41071739557692,0.189286952379742,3.56424325941895,1,1,0,spectral_energy,candidate_kept,"BandEnergy_30_80",0.249980319415393,0.00142850143200181,0.249980319398966,0.0186819628675,1.41071739557692,0.180900379886484,0.189286952379742,0.0986873260953837,0.487667390329877,0.271917986240676,3.56424325941895
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_017,17,120,2048,2047.92135981978,2.1936035155659e-10,1.0965e-05,4.24823719156963e-05,4.24719989770493e-05,-0.0001268,0.0644556,7.08e-05,0.3227663,0.0001976,1.80393996574124e-09,3.2981218270971e-05,-0.000102832815533981,1.53089488386391e-05,1.24199932038835e-05,0.000115252808737864,1.82185879076401e-05,1.87657546959968,5.59804596392129e-06,3.25445486234554,1.84378239038681e-05,7.04592616554756e-06,2.42074357830193e-06,1.08506448014e-06,3.0754180709188e-09,2.7935609294969e-10,1.47168932410441e-10,8.45181415470872e-11,0.999961601474503,4.39363831204797e-05,17.5226643854946,14.4797501708406,2.05740675601059,3.37546944574051,0,3,1.72123955667508,1.95116322977707,1.04094493154461,3.37546944574051,1,1,0,spectral_energy,candidate_kept,"BandEnergy_5_10, BandEnergy_30_80, BandEnergy_10_30",1.626563252997,1.72123955667508,1.6265632528982,1.53077353317863,1.95116322977707,1.04094493154461,0.819404723548445,1.43808704651528,3.37546944574051,2.87340599133886,2.94693403033983
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_022,22,120,2048,2047.92135981978,1.15136718738004e-11,6.779e-06,3.2140792267193e-05,3.21329444359788e-05,-7.685e-05,0.4111486,6.778e-05,0.6391847,0.00014463,1.03256576712864e-09,2.574158492328e-05,2.05907669902913e-05,7.85948307336229e-06,-4.35539805825243e-05,-6.41447475728155e-05,9.25504665844241e-06,-2.06444350478394,5.7614424494745e-06,1.60637665641004,1.41172579233377e-05,3.77838310432853e-06,2.59185352079472e-06,8.64179130693519e-07,1.73288683028743e-09,7.69904992588772e-11,1.88084737646762e-10,5.0427221332468e-11,1.99992320294901,2.77580926296883e-05,17.9339242833628,7.58819663539721,1.32052512083167,4.20963048710895,1,1,0.137685520415061,0.995565090584036,0.414277318295936,4.20963048710895,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.137685520415061,0.110484387414905,0.137685520414521,0.154546107217983,0.995565090584036,0.353822668577761,0.414277318295936,0.220950326600002,0.14805384763768,4.20963048710895,0.167190862712041
mdx5Cv_662,saw4Hzhigh_s1_c2_5cv662.csv,high,saw4Hzhigh_s1_c2_5cv662_curve_027,27,120,2048,2047.92135981978,8.77265625047526e-11,2.0545e-07,3.61299216894972e-05,3.61210998309227e-05,-7.983e-05,0.6631114,0.000113,0.009766,0.00019283,1.30478395477544e-09,2.79333151000652e-05,8.20897087378641e-05,1.15490972787292e-05,-1.63897281553398e-06,-8.37286815533981e-05,1.35442170350305e-05,-1.87588179900631,6.48403174049067e-06,2.08885730000171,1.49403305599274e-05,5.16934821568288e-06,2.60331476695005e-06,7.71784135898837e-07,2.20379978500841e-09,1.5703851969971e-10,1.74254882483473e-10,4.6162586843223e-11,0.999961601474503,3.49667666092098e-05,16.0846442458681,10.7107478080388,1.38654041195883,3.75797638582941,1,1,1.55629103461903,1.31724468350294,0.313591660910064,3.75797638582941,1,1,0,spectral_energy,candidate_kept,"BandEnergy_10_30",0.542850425667487,1.55629103461903,0.542850425649039,0.680168687334824,1.31724468350294,0.313591660910064,0.053112597233022,0.360981897933436,1.24571600952007,3.75797638582941,0.180543622285082
