Samples;2048;Curves ;80;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;Curve_41;Curve_42;Curve_43;Curve_44;Curve_45;Curve_46;Curve_47;Curve_48;Curve_49;Curve_50;Curve_51;Curve_52;Curve_53;Curve_54;Curve_55;Curve_56;Curve_57;Curve_58;Curve_59;Curve_60;Curve_61;Curve_62;Curve_63;Curve_64;Curve_65;Curve_66;Curve_67;Curve_68;Curve_69;Curve_70;Curve_71;Curve_72;Curve_73;Curve_74;Curve_75;Curve_76;Curve_77;Curve_78;Curve_79;Curve_80;
11;-6.113E-05;-1.254E-06;-1.179E-04;-1.356E-04;-9.692E-05;-9.524E-05;-6.936E-05;-9.789E-05;-1.341E-04;-7.444E-05;-1.041E-04;-1.119E-04;-3.280E-05;-1.269E-05;-1.054E-04;3.025E-06;-8.309E-05;-9.204E-05;-1.274E-04;-2.965E-05;-6.572E-05;1.520E-07;1.267E-05;9.823E-06;-3.667E-05;1.386E-05;2.922E-05;1.278E-04;-2.132E-05;9.830E-05;7.400E-05;7.696E-05;7.097E-05;1.178E-05;-2.295E-05;-4.071E-05;3.696E-05;9.981E-05;3.200E-05;-8.561E-05;6.618E-05;3.452E-05;5.494E-05;9.462E-05;6.772E-05;7.135E-05;5.039E-05;1.217E-06;-4.432E-05;1.085E-04;1.803E-05;-2.931E-05;-2.320E-05;-6.766E-06;-2.605E-05;-9.751E-05;-7.363E-05;-8.570E-05;-3.365E-05;1.042E-05;1.054E-04;2.482E-05;-4.720E-05;-1.554E-05;2.839E-05;-1.781E-05;1.651E-05;-3.778E-05;-2.233E-05;-2.892E-05;-8.770E-05;2.771E-06;-9.780E-05;-9.808E-05;-1.220E-04;-8.126E-05;-9.931E-05;-1.065E-04;-4.224E-05;-1.555E-05;
12;-5.765E-05;-4.101E-06;-1.186E-04;-1.319E-04;-1.005E-04;-1.008E-04;-7.327E-05;-1.055E-04;-1.373E-04;-8.059E-05;-1.063E-04;-1.099E-04;-3.399E-05;-1.324E-05;-1.060E-04;2.208E-06;-8.645E-05;-8.677E-05;-1.285E-04;-2.987E-05;-6.609E-05;-1.393E-06;1.139E-05;7.855E-06;-4.127E-05;1.211E-05;2.661E-05;1.241E-04;-2.298E-05;9.685E-05;7.427E-05;7.681E-05;6.973E-05;1.214E-05;-1.792E-05;-4.083E-05;3.647E-05;1.032E-04;3.279E-05;-7.952E-05;6.560E-05;3.267E-05;5.307E-05;9.310E-05;7.172E-05;7.317E-05;5.227E-05;1.975E-06;-3.808E-05;1.087E-04;-6.076E-06;-2.680E-05;-1.663E-05;-1.343E-05;-2.920E-05;-9.448E-05;-6.991E-05;-8.219E-05;-3.108E-05;1.069E-05;1.019E-04;2.670E-05;-4.593E-05;-1.363E-05;2.721E-05;-1.635E-05;1.630E-05;-3.490E-05;-1.224E-05;-2.889E-05;-8.412E-05;1.083E-05;-9.923E-05;-9.914E-05;-1.239E-04;-7.414E-05;-9.513E-05;-1.063E-04;-3.424E-05;-1.888E-05;
13;-5.610E-05;-6.766E-06;-1.211E-04;-1.297E-04;-1.055E-04;-1.061E-04;-7.802E-05;-1.104E-04;-1.390E-04;-8.692E-05;-1.112E-04;-1.102E-04;-3.586E-05;-1.796E-05;-1.085E-04;7.539E-07;-8.924E-05;-7.835E-05;-1.297E-04;-2.941E-05;-6.563E-05;-5.845E-06;1.039E-05;4.857E-06;-4.445E-05;1.071E-05;2.395E-05;1.202E-04;-2.380E-05;9.546E-05;7.464E-05;7.705E-05;6.843E-05;1.263E-05;-1.474E-05;-3.971E-05;3.774E-05;1.093E-04;3.606E-05;-7.601E-05;6.512E-05;3.173E-05;5.067E-05;9.135E-05;7.517E-05;8.008E-05;5.393E-05;4.428E-06;-3.248E-05;1.074E-04;-3.218E-05;-2.604E-05;-1.148E-05;-2.221E-05;-2.865E-05;-9.333E-05;-6.727E-05;-7.461E-05;-2.681E-05;1.300E-05;9.913E-05;2.848E-05;-4.605E-05;-1.223E-05;2.688E-05;-1.447E-05;1.581E-05;-3.293E-05;-1.164E-05;-2.650E-05;-8.206E-05;1.822E-05;-1.010E-04;-1.011E-04;-1.248E-04;-7.129E-05;-8.698E-05;-1.058E-04;-2.773E-05;-2.148E-05;
14;-5.813E-05;-9.340E-06;-1.233E-04;-1.279E-04;-1.076E-04;-1.081E-04;-8.081E-05;-1.099E-04;-1.381E-04;-9.243E-05;-1.159E-04;-1.113E-04;-3.559E-05;-2.214E-05;-1.097E-04;-1.881E-06;-9.472E-05;-6.829E-05;-1.294E-04;-2.814E-05;-6.539E-05;-1.002E-05;8.668E-06;4.348E-07;-4.654E-05;8.623E-06;2.092E-05;1.165E-04;-2.480E-05;9.331E-05;7.503E-05;7.811E-05;6.776E-05;1.323E-05;-1.383E-05;-3.913E-05;4.044E-05;1.183E-04;3.933E-05;-7.694E-05;6.409E-05;3.019E-05;4.883E-05;8.953E-05;7.802E-05;8.459E-05;5.402E-05;8.789E-06;-2.630E-05;1.043E-04;-4.899E-05;-2.656E-05;-8.570E-06;-3.093E-05;-2.593E-05;-9.100E-05;-6.788E-05;-6.604E-05;-2.157E-05;1.618E-05;9.753E-05;3.024E-05;-4.756E-05;-1.245E-05;2.691E-05;-1.287E-05;1.548E-05;-3.217E-05;-1.730E-05;-2.268E-05;-8.112E-05;2.424E-05;-1.007E-04;-1.018E-04;-1.225E-04;-7.226E-05;-7.920E-05;-1.055E-04;-2.252E-05;-2.288E-05;
15;-6.110E-05;-8.522E-06;-1.233E-04;-1.275E-04;-1.064E-04;-1.081E-04;-8.093E-05;-1.067E-04;-1.373E-04;-9.598E-05;-1.210E-04;-1.138E-04;-3.423E-05;-2.435E-05;-1.106E-04;-2.789E-06;-1.004E-04;-5.936E-05;-1.280E-04;-2.463E-05;-6.566E-05;-1.278E-05;6.639E-06;-4.895E-06;-4.779E-05;6.472E-06;1.710E-05;1.125E-04;-2.550E-05;8.949E-05;7.576E-05;7.887E-05;6.719E-05;1.390E-05;-1.419E-05;-3.995E-05;4.077E-05;1.287E-04;4.454E-05;-7.994E-05;6.212E-05;2.825E-05;4.746E-05;8.768E-05;8.093E-05;8.562E-05;5.342E-05;1.382E-05;-1.955E-05;1.006E-04;-5.126E-05;-2.786E-05;-8.449E-06;-3.708E-05;-2.160E-05;-8.876E-05;-6.706E-05;-5.977E-05;-1.612E-05;2.054E-05;9.701E-05;3.154E-05;-5.026E-05;-1.478E-05;2.742E-05;-1.157E-05;1.533E-05;-3.311E-05;-2.629E-05;-1.790E-05;-8.125E-05;2.727E-05;-9.683E-05;-1.027E-04;-1.170E-04;-7.547E-05;-7.378E-05;-1.080E-04;-1.889E-05;-2.191E-05;
16;-6.401E-05;-5.827E-06;-1.200E-04;-1.289E-04;-1.032E-04;-1.068E-04;-7.781E-05;-1.029E-04;-1.361E-04;-9.710E-05;-1.249E-04;-1.170E-04;-3.429E-05;-2.714E-05;-1.110E-04;-2.850E-06;-1.037E-04;-4.812E-05;-1.282E-04;-2.033E-05;-6.566E-05;-1.417E-05;5.125E-06;-8.833E-06;-4.782E-05;4.322E-06;1.429E-05;1.088E-04;-2.607E-05;8.522E-05;7.576E-05;7.796E-05;6.658E-05;1.490E-05;-1.428E-05;-4.189E-05;3.871E-05;1.404E-04;4.978E-05;-8.058E-05;5.855E-05;2.683E-05;4.680E-05;8.605E-05;8.338E-05;8.483E-05;5.227E-05;1.903E-05;-1.531E-05;9.736E-05;-4.414E-05;-3.022E-05;-1.093E-05;-3.990E-05;-1.651E-05;-8.755E-05;-6.464E-05;-5.490E-05;-1.472E-05;2.550E-05;9.729E-05;3.218E-05;-5.371E-05;-1.775E-05;2.712E-05;-9.841E-06;1.515E-05;-3.514E-05;-3.611E-05;-1.335E-05;-8.249E-05;2.685E-05;-9.187E-05;-1.033E-04;-1.109E-04;-8.098E-05;-7.029E-05;-1.119E-04;-1.871E-05;-1.788E-05;
17;-6.576E-05;-4.252E-06;-1.136E-04;-1.311E-04;-9.913E-05;-1.047E-04;-7.191E-05;-1.001E-04;-1.340E-04;-9.616E-05;-1.265E-04;-1.208E-04;-3.611E-05;-3.065E-05;-1.110E-04;-3.335E-06;-1.058E-04;-3.495E-05;-1.283E-04;-1.772E-05;-6.733E-05;-1.378E-05;3.792E-06;-1.238E-05;-4.824E-05;1.505E-06;1.350E-05;1.062E-04;-2.701E-05;8.113E-05;7.464E-05;7.517E-05;6.601E-05;1.635E-05;-1.498E-05;-4.238E-05;3.641E-05;1.534E-04;5.256E-05;-8.191E-05;5.443E-05;2.510E-05;4.550E-05;8.471E-05;8.589E-05;8.489E-05;5.057E-05;2.263E-05;-1.437E-05;9.518E-05;-3.663E-05;-3.504E-05;-1.414E-05;-3.851E-05;-1.148E-05;-8.776E-05;-6.379E-05;-4.966E-05;-1.494E-05;2.805E-05;9.807E-05;3.369E-05;-5.538E-05;-2.056E-05;2.630E-05;-8.781E-06;1.524E-05;-3.902E-05;-4.489E-05;-1.096E-05;-8.539E-05;2.433E-05;-8.663E-05;-1.044E-04;-1.065E-04;-8.856E-05;-6.820E-05;-1.150E-04;-2.146E-05;-1.488E-05;
18;-6.646E-05;-3.283E-06;-1.055E-04;-1.331E-04;-9.435E-05;-1.013E-04;-6.506E-05;-9.746E-05;-1.304E-04;-9.365E-05;-1.270E-04;-1.251E-04;-3.883E-05;-3.350E-05;-1.102E-04;-3.153E-06;-1.076E-04;-2.326E-05;-1.275E-04;-1.400E-05;-7.281E-05;-1.405E-05;3.187E-06;-1.759E-05;-4.851E-05;-1.705E-06;1.292E-05;1.055E-04;-2.859E-05;7.871E-05;7.215E-05;7.227E-05;6.395E-05;1.708E-05;-1.459E-05;-4.180E-05;3.484E-05;1.664E-04;5.402E-05;-8.512E-05;5.346E-05;2.298E-05;4.325E-05;8.450E-05;8.835E-05;8.531E-05;4.890E-05;2.554E-05;-1.522E-05;9.458E-05;-3.170E-05;-3.897E-05;-1.872E-05;-3.445E-05;-7.542E-06;-8.888E-05;-6.482E-05;-4.705E-05;-1.506E-05;2.962E-05;9.562E-05;3.624E-05;-5.341E-05;-2.250E-05;2.515E-05;-8.327E-06;1.648E-05;-4.311E-05;-5.192E-05;-1.142E-05;-8.915E-05;2.061E-05;-8.081E-05;-1.051E-04;-1.058E-04;-9.586E-05;-6.829E-05;-1.158E-04;-2.722E-05;-1.394E-05;
19;-6.664E-05;-2.586E-06;-9.789E-05;-1.340E-04;-9.001E-05;-9.866E-05;-5.749E-05;-9.589E-05;-1.258E-04;-8.847E-05;-1.261E-04;-1.288E-04;-4.225E-05;-3.568E-05;-1.092E-04;-1.881E-06;-1.104E-04;-1.042E-05;-1.261E-04;-1.036E-05;-7.941E-05;-1.702E-05;2.944E-06;-2.189E-05;-4.963E-05;-4.643E-06;1.144E-05;1.063E-04;-3.040E-05;7.692E-05;6.937E-05;7.051E-05;6.143E-05;1.596E-05;-1.228E-05;-4.095E-05;3.375E-05;1.806E-04;5.350E-05;-8.821E-05;5.549E-05;2.362E-05;4.116E-05;8.414E-05;8.968E-05;8.634E-05;4.691E-05;2.811E-05;-1.667E-05;9.476E-05;-2.894E-05;-4.158E-05;-2.471E-05;-2.933E-05;-4.453E-06;-9.103E-05;-6.624E-05;-4.799E-05;-1.663E-05;3.117E-05;9.268E-05;3.615E-05;-4.932E-05;-2.202E-05;2.524E-05;-7.963E-06;1.954E-05;-4.607E-05;-5.549E-05;-1.269E-05;-9.300E-05;1.667E-05;-7.548E-05;-1.049E-04;-1.084E-04;-1.021E-04;-7.184E-05;-1.140E-04;-3.400E-05;-1.219E-05;
20;-6.582E-05;-2.919E-06;-9.126E-05;-1.336E-04;-8.659E-05;-9.712E-05;-4.686E-05;-9.519E-05;-1.208E-04;-8.096E-05;-1.230E-04;-1.304E-04;-4.507E-05;-3.692E-05;-1.088E-04;-1.760E-06;-1.138E-04;-2.723E-06;-1.247E-04;-8.969E-06;-8.514E-05;-1.917E-05;2.488E-07;-2.473E-05;-5.154E-05;-7.671E-06;9.351E-06;1.068E-04;-3.258E-05;7.598E-05;6.707E-05;6.945E-05;5.955E-05;1.447E-05;-1.035E-05;-3.941E-05;3.350E-05;1.908E-04;5.141E-05;-8.985E-05;5.691E-05;2.516E-05;4.183E-05;8.393E-05;8.953E-05;8.771E-05;4.518E-05;2.975E-05;-1.864E-05;9.649E-05;-2.800E-05;-4.179E-05;-3.019E-05;-2.412E-05;-1.970E-06;-9.273E-05;-6.773E-05;-5.169E-05;-1.924E-05;3.138E-05;9.435E-05;3.390E-05;-4.653E-05;-1.935E-05;2.836E-05;-8.236E-06;2.357E-05;-4.641E-05;-5.552E-05;-1.550E-05;-9.506E-05;1.361E-05;-7.115E-05;-1.024E-04;-1.123E-04;-1.055E-04;-7.838E-05;-1.111E-04;-3.912E-05;-9.127E-06;
