Samples;2048;Curves ;80;SampleDist;4.883E-04;Stímulus;Flimmer 4Hz
Point;Curve_1;Curve_2;Curve_3;Curve_4;Curve_5;Curve_6;Curve_7;Curve_8;Curve_9;Curve_10;Curve_11;Curve_12;Curve_13;Curve_14;Curve_15;Curve_16;Curve_17;Curve_18;Curve_19;Curve_20;Curve_21;Curve_22;Curve_23;Curve_24;Curve_25;Curve_26;Curve_27;Curve_28;Curve_29;Curve_30;Curve_31;Curve_32;Curve_33;Curve_34;Curve_35;Curve_36;Curve_37;Curve_38;Curve_39;Curve_40;Curve_41;Curve_42;Curve_43;Curve_44;Curve_45;Curve_46;Curve_47;Curve_48;Curve_49;Curve_50;Curve_51;Curve_52;Curve_53;Curve_54;Curve_55;Curve_56;Curve_57;Curve_58;Curve_59;Curve_60;Curve_61;Curve_62;Curve_63;Curve_64;Curve_65;Curve_66;Curve_67;Curve_68;Curve_69;Curve_70;Curve_71;Curve_72;Curve_73;Curve_74;Curve_75;Curve_76;Curve_77;Curve_78;Curve_79;Curve_80;
139;-2.162E-06;7.546E-05;6.468E-05;-4.287E-05;-3.726E-05;-5.592E-06;-7.536E-05;-4.986E-05;4.116E-05;-2.935E-05;-3.814E-05;-6.515E-05;-1.222E-04;-7.738E-05;-9.948E-05;-1.969E-05;-1.097E-04;-6.947E-05;1.085E-05;2.444E-05;-9.716E-05;-1.060E-04;-7.471E-05;-1.678E-04;-1.459E-04;-9.783E-05;-6.685E-05;7.296E-05;2.784E-05;-1.996E-05;1.870E-05;2.520E-05;1.731E-05;4.085E-05;1.876E-05;4.906E-05;1.146E-05;1.531E-04;1.128E-04;5.671E-05;-2.674E-05;-3.844E-05;-6.233E-06;6.118E-05;1.228E-04;6.596E-05;-1.915E-06;1.224E-04;1.233E-04;1.309E-04;1.609E-05;2.971E-05;6.906E-06;1.166E-04;5.257E-05;1.288E-07;3.070E-05;6.104E-05;7.928E-05;1.108E-04;5.231E-05;1.051E-04;1.876E-05;8.020E-05;4.117E-05;3.332E-05;5.104E-05;1.804E-05;2.752E-05;6.542E-05;3.941E-05;4.920E-05;1.568E-05;-1.773E-05;6.377E-05;3.556E-05;8.783E-05;4.182E-05;4.068E-05;1.822E-05;
140;6.621E-06;7.976E-05;6.847E-05;-4.224E-05;-3.371E-05;-3.623E-06;-7.669E-05;-4.662E-05;4.006E-05;-1.869E-05;-3.690E-05;-5.604E-05;-1.235E-04;-1.002E-04;-1.001E-04;-1.833E-05;-1.027E-04;-7.268E-05;1.146E-05;2.401E-05;-9.386E-05;-1.002E-04;-7.462E-05;-1.694E-04;-1.472E-04;-9.953E-05;-6.930E-05;7.444E-05;2.811E-05;-2.090E-05;1.809E-05;2.139E-05;1.552E-05;4.685E-05;1.876E-05;4.639E-05;1.488E-05;1.520E-04;1.131E-04;6.152E-05;-2.843E-05;-3.792E-05;-6.839E-06;6.037E-05;1.224E-04;6.393E-05;-3.611E-06;1.214E-04;1.205E-04;1.318E-04;1.561E-05;2.978E-05;5.483E-06;1.170E-04;5.591E-05;2.945E-06;3.219E-05;6.331E-05;7.589E-05;1.080E-04;5.404E-05;1.060E-04;1.931E-05;7.914E-05;4.175E-05;3.447E-05;5.194E-05;1.986E-05;2.665E-05;6.690E-05;3.784E-05;4.663E-05;1.638E-05;-1.937E-05;6.680E-05;3.910E-05;9.007E-05;4.300E-05;4.014E-05;2.080E-05;
141;1.546E-05;8.452E-05;7.340E-05;-4.127E-05;-3.156E-05;-2.200E-06;-7.742E-05;-4.274E-05;3.891E-05;-6.301E-06;-3.487E-05;-4.522E-05;-1.217E-04;-1.065E-04;-9.799E-05;-2.087E-05;-9.820E-05;-7.707E-05;1.297E-05;2.453E-05;-9.486E-05;-9.446E-05;-7.401E-05;-1.687E-04;-1.478E-04;-1.002E-04;-7.009E-05;7.635E-05;3.017E-05;-2.217E-05;1.667E-05;1.833E-05;1.349E-05;5.621E-05;1.903E-05;4.333E-05;1.842E-05;1.511E-04;1.117E-04;6.519E-05;-2.737E-05;-3.686E-05;-7.051E-06;6.027E-05;1.210E-04;6.078E-05;-4.913E-06;1.215E-04;1.179E-04;1.332E-04;1.434E-05;2.920E-05;4.150E-06;1.180E-04;6.081E-05;4.884E-06;3.234E-05;6.646E-05;7.522E-05;1.051E-04;5.268E-05;1.076E-04;2.070E-05;7.808E-05;4.157E-05;3.541E-05;5.237E-05;2.077E-05;2.522E-05;6.984E-05;3.526E-05;4.411E-05;1.601E-05;-2.097E-05;6.855E-05;4.131E-05;9.213E-05;4.491E-05;4.032E-05;2.198E-05;
142;2.673E-05;8.891E-05;7.737E-05;-4.203E-05;-3.029E-05;-7.458E-07;-7.727E-05;-3.823E-05;3.913E-05;7.358E-06;-3.202E-05;-3.263E-05;-1.161E-04;-1.002E-04;-9.303E-05;-2.705E-05;-9.681E-05;-8.156E-05;1.476E-05;2.622E-05;-9.628E-05;-9.116E-05;-7.416E-05;-1.661E-04;-1.494E-04;-1.004E-04;-6.997E-05;7.711E-05;3.168E-05;-2.396E-05;1.622E-05;1.651E-05;1.028E-05;6.759E-05;1.879E-05;4.015E-05;2.097E-05;1.514E-04;1.101E-04;6.809E-05;-2.525E-05;-3.293E-05;-6.718E-06;5.985E-05;1.198E-04;5.724E-05;-6.306E-06;1.222E-04;1.160E-04;1.344E-04;1.434E-05;2.802E-05;3.121E-06;1.202E-04;6.539E-05;5.611E-06;3.179E-05;6.970E-05;7.647E-05;1.045E-04;4.922E-05;1.065E-04;2.200E-05;7.874E-05;4.214E-05;3.634E-05;5.258E-05;2.043E-05;2.350E-05;7.248E-05;3.248E-05;4.235E-05;1.529E-05;-2.252E-05;7.073E-05;4.146E-05;9.313E-05;4.642E-05;4.147E-05;2.394E-05;
143;3.869E-05;9.266E-05;7.973E-05;-4.366E-05;-2.962E-05;2.536E-07;-7.584E-05;-3.368E-05;4.058E-05;2.014E-05;-2.987E-05;-2.215E-05;-1.087E-04;-8.971E-05;-8.585E-05;-3.513E-05;-9.893E-05;-8.468E-05;1.512E-05;2.692E-05;-9.664E-05;-8.722E-05;-7.725E-05;-1.625E-04;-1.505E-04;-1.019E-04;-6.918E-05;7.702E-05;3.186E-05;-2.584E-05;1.700E-05;1.618E-05;7.069E-06;7.871E-05;1.721E-05;3.779E-05;2.275E-05;1.517E-04;1.084E-04;7.140E-05;-2.516E-05;-2.887E-05;-4.870E-06;6.112E-05;1.196E-04;5.427E-05;-8.336E-06;1.227E-04;1.150E-04;1.353E-04;1.543E-05;2.699E-05;2.454E-06;1.232E-04;6.887E-05;5.732E-06;3.070E-05;7.251E-05;7.743E-05;1.051E-04;4.732E-05;1.042E-04;2.176E-05;8.044E-05;4.408E-05;3.801E-05;5.340E-05;2.013E-05;2.238E-05;7.423E-05;2.978E-05;4.069E-05;1.553E-05;-2.303E-05;7.303E-05;4.046E-05;9.370E-05;4.745E-05;4.202E-05;2.691E-05;
144;4.951E-05;9.572E-05;8.234E-05;-4.518E-05;-2.959E-05;-1.897E-08;-7.309E-05;-3.005E-05;4.146E-05;3.237E-05;-2.848E-05;-1.330E-05;-1.008E-04;-8.053E-05;-7.716E-05;-4.255E-05;-1.036E-04;-8.613E-05;1.419E-05;2.701E-05;-9.767E-05;-8.286E-05;-8.113E-05;-1.613E-04;-1.508E-04;-1.042E-04;-6.903E-05;7.787E-05;3.250E-05;-2.723E-05;1.794E-05;1.600E-05;4.616E-06;9.113E-05;1.543E-05;3.588E-05;2.333E-05;1.516E-04;1.062E-04;7.515E-05;-2.668E-05;-2.744E-05;-4.567E-06;6.530E-05;1.215E-04;5.149E-05;-1.061E-05;1.235E-04;1.139E-04;1.363E-04;1.631E-05;2.547E-05;2.909E-06;1.255E-04;7.056E-05;5.823E-06;2.916E-05;7.494E-05;7.716E-05;1.060E-04;4.659E-05;1.037E-04;2.191E-05;8.032E-05;4.608E-05;4.058E-05;5.503E-05;1.913E-05;2.219E-05;7.575E-05;2.669E-05;3.917E-05;1.619E-05;-2.297E-05;7.437E-05;3.973E-05;9.392E-05;4.863E-05;4.126E-05;2.979E-05;
145;6.177E-05;9.811E-05;8.397E-05;-4.633E-05;-2.990E-05;-1.704E-07;-6.882E-05;-2.723E-05;4.285E-05;4.067E-05;-2.678E-05;-4.520E-06;-9.389E-05;-7.423E-05;-6.925E-05;-4.837E-05;-1.085E-04;-8.525E-05;1.288E-05;2.731E-05;-9.919E-05;-7.977E-05;-8.252E-05;-1.604E-04;-1.534E-04;-1.050E-04;-6.854E-05;7.862E-05;3.326E-05;-2.862E-05;1.773E-05;1.563E-05;3.072E-06;9.900E-05;1.379E-05;3.449E-05;2.381E-05;1.498E-04;1.043E-04;7.915E-05;-2.828E-05;-2.581E-05;-6.324E-06;6.839E-05;1.248E-04;5.200E-05;-1.158E-05;1.245E-04;1.126E-04;1.366E-04;1.631E-05;2.417E-05;3.938E-06;1.275E-04;7.156E-05;4.823E-06;2.804E-05;7.715E-05;7.674E-05;1.079E-04;4.620E-05;1.034E-04;2.409E-05;8.011E-05;4.426E-05;4.192E-05;5.758E-05;1.916E-05;2.244E-05;7.772E-05;2.397E-05;3.769E-05;1.731E-05;-2.249E-05;7.406E-05;3.925E-05;9.470E-05;5.103E-05;3.859E-05;3.249E-05;
146;6.898E-05;9.951E-05;8.552E-05;-4.687E-05;-3.029E-05;-3.824E-07;-6.533E-05;-2.638E-05;4.476E-05;3.380E-05;-2.439E-05;-6.913E-06;-8.920E-05;-6.875E-05;-6.265E-05;-5.200E-05;-1.122E-04;-8.101E-05;1.270E-05;2.680E-05;-1.009E-04;-7.850E-05;-8.061E-05;-1.591E-04;-1.551E-04;-1.065E-04;-6.670E-05;7.720E-05;3.320E-05;-2.981E-05;1.685E-05;1.475E-05;3.344E-06;9.185E-05;1.182E-05;3.334E-05;2.366E-05;1.475E-04;1.037E-04;8.136E-05;-2.974E-05;-2.399E-05;-8.141E-06;6.978E-05;1.257E-04;5.367E-05;-8.941E-06;1.270E-04;1.114E-04;1.362E-04;1.518E-05;2.308E-05;4.483E-06;1.277E-04;7.153E-05;2.885E-06;2.734E-05;7.972E-05;7.656E-05;1.105E-04;4.553E-05;1.023E-04;2.676E-05;8.099E-05;4.187E-05;3.919E-05;5.979E-05;2.137E-05;2.247E-05;7.938E-05;2.254E-05;3.693E-05;1.765E-05;-2.258E-05;7.316E-05;3.889E-05;9.543E-05;5.424E-05;3.435E-05;3.539E-05;
147;6.044E-05;9.966E-05;8.718E-05;-4.821E-05;-3.078E-05;-5.035E-07;-6.397E-05;-2.602E-05;4.588E-05;1.457E-05;-2.133E-05;-2.342E-05;-8.656E-05;-6.291E-05;-5.847E-05;-5.234E-05;-1.139E-04;-7.474E-05;1.400E-05;2.646E-05;-1.025E-04;-7.968E-05;-7.580E-05;-1.583E-04;-1.545E-04;-1.059E-04;-6.797E-05;7.475E-05;3.277E-05;-3.074E-05;1.649E-05;1.242E-05;4.435E-06;7.347E-05;1.007E-05;3.207E-05;2.354E-05;1.462E-04;1.038E-04;8.184E-05;-3.089E-05;-2.293E-05;-8.656E-06;7.018E-05;1.245E-04;5.333E-05;-5.852E-06;1.328E-04;1.107E-04;1.342E-04;1.403E-05;2.251E-05;6.058E-06;1.269E-04;7.026E-05;8.254E-07;2.667E-05;8.257E-05;7.849E-05;1.126E-04;4.471E-05;1.007E-04;2.749E-05;8.283E-05;4.096E-05;3.650E-05;5.746E-05;2.228E-05;2.347E-05;8.150E-05;2.145E-05;3.715E-05;1.759E-05;-2.309E-05;7.261E-05;3.840E-05;9.643E-05;5.702E-05;3.093E-05;3.724E-05;
148;4.160E-05;9.830E-05;8.806E-05;-4.884E-05;-3.065E-05;1.102E-06;-6.382E-05;-2.569E-05;4.764E-05;-9.088E-06;-1.842E-05;-4.492E-05;-8.668E-05;-5.609E-05;-5.874E-05;-5.001E-05;-1.148E-04;-6.844E-05;1.712E-05;2.719E-05;-1.040E-04;-8.332E-05;-6.980E-05;-1.587E-04;-1.526E-04;-1.026E-04;-7.145E-05;7.120E-05;3.456E-05;-2.977E-05;1.606E-05;9.484E-06;5.434E-06;5.048E-05;8.582E-06;3.043E-05;2.354E-05;1.454E-04;1.042E-04;8.136E-05;-3.125E-05;-2.236E-05;-9.564E-06;6.936E-05;1.228E-04;5.139E-05;-5.034E-06;1.389E-04;1.132E-04;1.318E-04;1.306E-05;2.245E-05;8.148E-06;1.271E-04;6.763E-05;-2.952E-07;2.571E-05;8.345E-05;8.064E-05;1.148E-04;4.450E-05;9.963E-05;2.706E-05;8.486E-05;4.036E-05;3.628E-05;5.506E-05;2.046E-05;2.253E-05;8.386E-05;2.124E-05;3.781E-05;1.744E-05;-2.376E-05;7.137E-05;3.816E-05;9.858E-05;5.884E-05;2.960E-05;3.888E-05;
149;1.886E-05;9.530E-05;8.749E-05;-4.972E-05;-3.035E-05;3.585E-06;-6.355E-05;-2.436E-05;5.024E-05;-3.480E-05;-1.633E-05;-6.764E-05;-8.962E-05;-4.925E-05;-6.286E-05;-4.583E-05;-1.145E-04;-6.396E-05;2.118E-05;2.889E-05;-1.045E-04;-8.807E-05;-6.265E-05;-1.607E-04;-1.509E-04;-9.941E-05;-7.224E-05;6.760E-05;3.656E-05;-2.759E-05;1.579E-05;7.274E-06;5.495E-06;2.631E-05;7.371E-06;2.837E-05;2.345E-05;1.456E-04;1.042E-04;8.030E-05;-3.067E-05;-2.236E-05;-1.162E-05;6.809E-05;1.201E-04;4.958E-05;-5.277E-06;1.427E-04;1.160E-04;1.323E-04;1.313E-05;2.199E-05;1.021E-05;1.274E-04;6.545E-05;-9.009E-07;2.419E-05;8.260E-05;8.174E-05;1.159E-04;4.538E-05;9.944E-05;2.655E-05;8.665E-05;3.978E-05;3.650E-05;5.409E-05;1.880E-05;2.074E-05;8.395E-05;2.260E-05;3.902E-05;1.701E-05;-2.509E-05;6.979E-05;3.816E-05;1.007E-04;6.017E-05;2.915E-05;3.988E-05;
150;-3.918E-06;9.184E-05;8.630E-05;-5.029E-05;-2.872E-05;7.219E-06;-6.282E-05;-2.208E-05;5.339E-05;-5.258E-05;-1.397E-05;-8.393E-05;-9.177E-05;-4.383E-05;-6.968E-05;-4.022E-05;-1.117E-04;-6.087E-05;2.621E-05;3.158E-05;-1.048E-04;-9.222E-05;-5.236E-05;-1.627E-04;-1.500E-04;-9.732E-05;-7.106E-05;6.554E-05;3.644E-05;-2.859E-05;1.646E-05;5.063E-06;5.071E-06;1.072E-05;6.160E-06;2.619E-05;2.324E-05;1.459E-04;1.048E-04;8.015E-05;-3.071E-05;-2.499E-05;-1.290E-05;6.682E-05;1.158E-04;4.879E-05;-5.549E-06;1.448E-04;1.172E-04;1.324E-04;1.576E-05;2.184E-05;1.184E-05;1.273E-04;6.327E-05;-2.649E-07;2.240E-05;8.139E-05;8.207E-05;1.164E-04;4.650E-05;1.006E-04;2.643E-05;8.798E-05;4.017E-05;3.571E-05;5.376E-05;1.747E-05;2.041E-05;8.362E-05;2.209E-05;3.945E-05;1.686E-05;-2.548E-05;6.855E-05;3.980E-05;1.013E-04;6.193E-05;2.881E-05;4.000E-05;
151;-1.709E-05;9.048E-05;8.491E-05;-4.978E-05;-2.484E-05;1.082E-05;-6.203E-05;-1.857E-05;5.600E-05;-5.615E-05;-1.131E-05;-8.729E-05;-9.401E-05;-4.183E-05;-7.673E-05;-3.407E-05;-1.075E-04;-5.887E-05;3.187E-05;3.395E-05;-1.048E-04;-9.528E-05;-3.809E-05;-1.640E-04;-1.505E-04;-9.650E-05;-7.003E-05;6.409E-05;3.598E-05;-3.171E-05;1.619E-05;2.398E-06;5.071E-06;9.173E-06;5.978E-06;2.489E-05;2.245E-05;1.452E-04;1.062E-04;8.045E-05;-3.173E-05;-2.908E-05;-1.435E-05;6.621E-05;1.112E-04;4.858E-05;-5.246E-06;1.469E-04;1.169E-04;1.306E-04;1.824E-05;2.457E-05;1.330E-05;1.261E-04;6.042E-05;1.673E-06;2.062E-05;8.060E-05;8.158E-05;1.161E-04;4.716E-05;1.013E-04;2.655E-05;8.862E-05;4.069E-05;3.407E-05;5.285E-05;1.686E-05;2.095E-05;8.462E-05;2.136E-05;3.718E-05;1.689E-05;-2.415E-05;7.025E-05;4.246E-05;1.016E-04;6.344E-05;2.915E-05;3.954E-05;
152;-1.570E-05;9.103E-05;8.367E-05;-4.966E-05;-2.021E-05;1.285E-05;-6.170E-05;-1.469E-05;5.851E-05;-4.822E-05;-8.854E-06;-7.954E-05;-9.701E-05;-4.292E-05;-8.379E-05;-2.811E-05;-1.031E-04;-5.769E-05;3.720E-05;3.585E-05;-1.025E-04;-9.658E-05;-2.304E-05;-1.625E-04;-1.519E-04;-9.589E-05;-7.018E-05;6.312E-05;3.471E-05;-3.283E-05;1.419E-05;-2.206E-06;5.525E-06;1.671E-05;5.766E-06;2.495E-05;2.190E-05;1.437E-04;1.084E-04;8.057E-05;-3.298E-05;-3.205E-05;-1.523E-05;6.560E-05;1.066E-04;4.900E-05;-4.974E-06;1.476E-04;1.155E-04;1.287E-04;1.946E-05;2.769E-05;1.651E-05;1.239E-04;5.842E-05;3.006E-06;2.016E-05;7.990E-05;8.116E-05;1.152E-04;4.701E-05;1.020E-04;2.724E-05;8.931E-05;4.051E-05;3.313E-05;5.143E-05;1.671E-05;2.059E-05;8.595E-05;2.366E-05;3.587E-05;1.398E-05;-2.367E-05;7.691E-05;4.519E-05;1.014E-04;6.432E-05;2.872E-05;3.891E-05;
153;-6.160E-06;9.412E-05;8.294E-05;-4.942E-05;-1.575E-05;1.258E-05;-6.194E-05;-1.079E-05;6.030E-05;-3.783E-05;-7.552E-06;-6.985E-05;-1.002E-04;-4.625E-05;-8.882E-05;-2.387E-05;-9.842E-05;-5.812E-05;4.159E-05;3.779E-05;-9.967E-05;-9.640E-05;-9.170E-06;-1.604E-04;-1.534E-04;-9.698E-05;-7.030E-05;6.375E-05;3.344E-05;-3.286E-05;1.358E-05;-6.597E-06;4.404E-06;2.459E-05;5.554E-06;2.592E-05;2.212E-05;1.416E-04;1.109E-04;8.018E-05;-3.422E-05;-3.253E-05;-1.532E-05;6.485E-05;1.024E-04;4.982E-05;-4.762E-06;1.476E-04;1.147E-04;1.269E-04;1.982E-05;2.844E-05;2.120E-05;1.240E-04;5.657E-05;2.855E-06;2.028E-05;7.927E-05;8.019E-05;1.143E-04;4.568E-05;1.024E-04;2.734E-05;9.001E-05;3.996E-05;3.271E-05;4.982E-05;1.719E-05;1.889E-05;8.753E-05;2.745E-05;3.636E-05;1.156E-05;-2.691E-05;8.494E-05;4.891E-05;1.017E-04;6.429E-05;2.842E-05;3.748E-05;
154;2.926E-06;9.914E-05;8.394E-05;-4.966E-05;-1.203E-05;9.036E-06;-6.294E-05;-7.577E-06;6.081E-05;-3.144E-05;-7.340E-06;-6.521E-05;-1.029E-04;-5.176E-05;-9.127E-05;-2.378E-05;-9.421E-05;-6.087E-05;4.553E-05;3.915E-05;-9.782E-05;-9.531E-05;5.246E-06;-1.586E-04;-1.543E-04;-9.862E-05;-7.127E-05;6.639E-05;3.202E-05;-3.341E-05;1.446E-05;-8.990E-06;3.344E-06;2.647E-05;6.250E-06;2.768E-05;2.242E-05;1.408E-04;1.133E-04;7.994E-05;-3.498E-05;-3.168E-05;-1.544E-05;6.512E-05;1.001E-04;5.100E-05;-4.943E-06;1.465E-04;1.146E-04;1.260E-04;2.009E-05;2.781E-05;2.447E-05;1.254E-04;5.551E-05;1.037E-06;2.116E-05;7.878E-05;7.925E-05;1.138E-04;4.362E-05;1.038E-04;2.646E-05;8.998E-05;3.954E-05;3.295E-05;4.840E-05;1.768E-05;1.705E-05;8.856E-05;3.048E-05;3.778E-05;1.029E-05;-3.039E-05;8.936E-05;5.209E-05;1.032E-04;6.356E-05;2.924E-05;3.551E-05;
155;6.591E-06;1.047E-04;8.588E-05;-4.975E-05;-8.455E-06;5.039E-06;-6.221E-05;-2.670E-06;6.314E-05;-2.744E-05;-5.341E-06;-6.476E-05;-1.032E-04;-5.743E-05;-9.012E-05;-2.905E-05;-9.175E-05;-6.408E-05;4.853E-05;4.127E-05;-9.749E-05;-9.358E-05;1.376E-05;-1.566E-04;-1.556E-04;-9.944E-05;-7.248E-05;6.851E-05;3.047E-05;-3.405E-05;1.552E-05;-1.047E-05;4.677E-06;2.465E-05;4.312E-06;2.955E-05;2.236E-05;1.408E-04;1.143E-04;8.012E-05;-3.543E-05;-3.062E-05;-1.574E-05;6.594E-05;9.858E-05;5.339E-05;-5.367E-06;1.435E-04;1.149E-04;1.263E-04;2.079E-05;2.799E-05;2.553E-05;1.246E-04;5.718E-05;-4.466E-07;2.186E-05;7.818E-05;7.759E-05;1.141E-04;4.189E-05;1.068E-04;2.603E-05;8.862E-05;3.930E-05;3.332E-05;4.689E-05;1.865E-05;1.547E-05;8.850E-05;3.160E-05;3.878E-05;9.168E-06;-3.260E-05;9.430E-05;5.164E-05;1.033E-04;6.462E-05;2.990E-05;3.433E-05;
156;5.925E-06;1.092E-04;8.982E-05;-4.739E-05;-3.609E-06;3.797E-06;-6.006E-05;2.993E-06;6.635E-05;-2.505E-05;-2.161E-06;-6.524E-05;-9.928E-05;-5.870E-05;-8.370E-05;-3.810E-05;-9.403E-05;-6.696E-05;5.098E-05;4.324E-05;-9.689E-05;-9.292E-05;5.670E-06;-1.538E-04;-1.565E-04;-9.865E-05;-7.363E-05;6.930E-05;2.899E-05;-3.468E-05;1.585E-05;-1.138E-05;6.797E-06;2.271E-05;1.223E-06;2.828E-05;2.118E-05;1.417E-04;1.139E-04;8.106E-05;-3.613E-05;-3.129E-05;-1.595E-05;6.645E-05;9.689E-05;5.521E-05;-6.185E-06;1.403E-04;1.142E-04;1.259E-04;2.115E-05;2.923E-05;2.471E-05;1.219E-04;5.839E-05;7.345E-07;2.304E-05;7.748E-05;7.607E-05;1.146E-04;4.126E-05;1.108E-04;2.543E-05;8.695E-05;3.818E-05;3.292E-05;4.561E-05;1.843E-05;1.465E-05;8.859E-05;3.142E-05;3.954E-05;9.713E-06;-3.351E-05;1.037E-04;5.164E-05;1.001E-04;6.684E-05;3.114E-05;3.336E-05;
157;6.046E-06;1.149E-04;9.660E-05;-4.506E-05;-3.386E-07;2.737E-06;-5.937E-05;6.022E-06;6.793E-05;-2.484E-05;-1.525E-06;-6.794E-05;-9.477E-05;-5.749E-05;-7.295E-05;-4.507E-05;-9.930E-05;-7.026E-05;5.222E-05;4.403E-05;-9.634E-05;-9.234E-05;-1.614E-05;-1.506E-04;-1.567E-04;-9.741E-05;-7.484E-05;7.045E-05;2.750E-05;-3.562E-05;1.619E-05;-1.338E-05;8.917E-06;2.247E-05;1.072E-06;2.677E-05;1.779E-05;1.412E-04;1.138E-04;8.275E-05;-3.610E-05;-3.371E-05;-1.708E-05;6.682E-05;9.528E-05;5.676E-05;-7.942E-06;1.377E-04;1.133E-04;1.241E-04;2.127E-05;3.062E-05;2.332E-05;1.199E-04;5.809E-05;1.340E-06;2.743E-05;7.727E-05;7.495E-05;1.151E-04;4.086E-05;1.161E-04;2.388E-05;8.574E-05;3.675E-05;3.220E-05;4.458E-05;1.762E-05;1.368E-05;9.025E-05;3.087E-05;4.063E-05;1.108E-05;-3.436E-05;1.172E-04;5.424E-05;9.870E-05;6.671E-05;3.233E-05;3.309E-05;
158;6.470E-06;1.180E-04;1.016E-04;-4.630E-05;-1.277E-06;1.314E-06;-5.919E-05;5.598E-06;6.908E-05;-2.511E-05;-2.736E-06;-7.175E-05;-9.074E-05;-5.543E-05;-6.338E-05;-5.158E-05;-1.033E-04;-7.084E-05;5.095E-05;4.273E-05;-9.710E-05;-9.186E-05;-4.545E-05;-1.488E-04;-1.574E-04;-9.656E-05;-7.663E-05;7.263E-05;2.584E-05;-3.580E-05;1.606E-05;-1.720E-05;1.095E-05;2.310E-05;2.677E-06;2.707E-05;1.557E-05;1.382E-04;1.119E-04;8.496E-05;-3.652E-05;-3.592E-05;-1.980E-05;6.657E-05;9.492E-05;5.842E-05;-9.396E-06;1.357E-04;1.112E-04;1.227E-04;1.991E-05;3.071E-05;2.163E-05;1.189E-04;5.791E-05;1.591E-07;3.270E-05;7.960E-05;7.350E-05;1.148E-04;4.017E-05;1.205E-04;2.270E-05;8.513E-05;3.536E-05;3.174E-05;4.377E-05;1.610E-05;1.229E-05;9.083E-05;3.139E-05;4.193E-05;1.211E-05;-3.566E-05;1.310E-04;5.733E-05;1.004E-04;6.705E-05;3.087E-05;3.412E-05;
159;6.046E-06;1.180E-04;1.042E-04;-4.960E-05;-4.064E-06;1.930E-07;-5.843E-05;3.326E-06;7.026E-05;-2.505E-05;-3.584E-06;-7.509E-05;-8.635E-05;-5.255E-05;-5.629E-05;-5.861E-05;-1.072E-04;-6.732E-05;4.956E-05;3.958E-05;-9.979E-05;-9.192E-05;-7.707E-05;-1.483E-04;-1.588E-04;-9.601E-05;-7.848E-05;7.529E-05;2.429E-05;-3.547E-05;1.546E-05;-2.116E-05;1.279E-05;2.426E-05;4.191E-06;2.877E-05;1.561E-05;1.371E-04;1.086E-04;8.524E-05;-3.882E-05;-3.665E-05;-2.250E-05;6.715E-05;9.592E-05;5.975E-05;-9.850E-06;1.332E-04;1.087E-04;1.220E-04;1.779E-05;2.890E-05;1.975E-05;1.185E-04;5.851E-05;-1.991E-06;3.658E-05;8.330E-05;7.262E-05;1.136E-04;3.902E-05;1.224E-04;2.182E-05;8.565E-05;3.439E-05;3.092E-05;4.401E-05;1.477E-05;1.056E-05;8.913E-05;3.218E-05;4.351E-05;1.301E-05;-3.684E-05;1.442E-04;5.975E-05;1.035E-04;6.917E-05;2.939E-05;3.385E-05;
160;5.773E-06;1.165E-04;1.070E-04;-5.272E-05;-7.092E-06;9.199E-07;-5.658E-05;6.004E-07;7.093E-05;-2.550E-05;-4.311E-06;-7.563E-05;-8.256E-05;-4.852E-05;-5.132E-05;-6.303E-05;-1.113E-04;-6.490E-05;4.971E-05;3.879E-05;-1.027E-04;-9.313E-05;-9.942E-05;-1.490E-04;-1.585E-04;-9.623E-05;-7.957E-05;7.532E-05;2.378E-05;-3.601E-05;1.413E-05;-2.244E-05;1.413E-05;2.519E-05;5.251E-06;2.967E-05;1.503E-05;1.377E-04;1.073E-04;8.418E-05;-3.970E-05;-3.580E-05;-2.507E-05;6.803E-05;9.646E-05;6.036E-05;-9.789E-06;1.316E-04;1.066E-04;1.214E-04;1.561E-05;2.641E-05;1.766E-05;1.186E-04;5.942E-05;-3.293E-06;3.858E-05;8.427E-05;7.335E-05;1.139E-04;3.669E-05;1.221E-04;2.161E-05;8.577E-05;3.433E-05;2.902E-05;4.449E-05;1.383E-05;8.838E-06;8.644E-05;3.287E-05;4.460E-05;1.456E-05;-3.563E-05;1.590E-04;6.206E-05;1.056E-04;7.002E-05;2.990E-05;3.249E-05;
